geography,Visit,Age Group,month,Year,Race,Frequency,Population,rate,sex
Ohio,ED,0-4,All,2013,Total,"6,016","675,303",89.1,All
Ohio,ED,0-4,All,2014,White,"3,166","541,326",58.5,All
Ohio,ED,0-4,All,2014,Black,"3,053","133,899",228,All
Ohio,ED,0-4,All,2014,Total,"6,219","675,225",92.1,All
Ohio,ED,0-4,All,2015,White,"2,745","540,765",50.8,All
Ohio,ED,0-4,All,2015,Black,"2,939","133,760",219.7,All
Ohio,ED,0-4,All,2015,Total,"5,684","674,525",84.3,All
Ohio,ED,0-4,All,2016,White,"2,650","541,923",48.9,All
Ohio,ED,0-4,All,2016,Black,"2,765","132,450",209,All
Ohio,ED,0-4,All,2016,Total,"5,416","674,373",80.3,All
Ohio,ED,5-14,All,2013,White,"6,980","1,573,546",44.4,All
Ohio,ED,5-14,All,2013,Black,"5,194","330,883",157,All
Ohio,ED,5-14,All,2013,Total,"12,174","1,904,429",63.9,All
Ohio,ED,5-14,All,2014,White,"7,100","1,557,347",45.6,All
Ohio,ED,5-14,All,2014,Black,"5,638","332,518",169.6,All
Ohio,ED,5-14,All,2014,Total,"12,738","1,889,865",67.4,All
Ohio,ED,5-14,All,2015,White,"6,077","1,540,251",39.5,All
Ohio,ED,5-14,All,2015,Black,"5,705","334,263",170.7,All
Ohio,ED,5-14,All,2015,Total,"11,782","1,874,514",62.9,All
Ohio,ED,5-14,All,2016,White,"5,799","1,521,745",38.1,All
Ohio,ED,5-14,All,2016,Black,"5,459","335,101",163,All
Ohio,ED,5-14,All,2016,Total,"11,267","1,856,846",60.7,All
Ohio,ED,15-34,All,2013,White,"9,919","2,086,971",47.5,All
Ohio,ED,15-34,All,2013,Black,"7,039","392,883",179.2,All
Ohio,ED,15-34,All,2013,Total,"16,958","2,479,854",68.4,All
Ohio,ED,15-34,All,2014,White,"9,624","2,088,426",46.1,All
Ohio,ED,15-34,All,2014,Black,"7,262","398,040",182.4,All
Ohio,ED,15-34,All,2014,Total,"16,887","2,486,466",67.9,All
Ohio,ED,15-34,All,2015,White,"8,889","2,080,699",42.7,All
Ohio,ED,15-34,All,2015,Black,"7,211","402,316",179.2,All
Ohio,ED,15-34,All,2015,Total,"16,102","2,483,015",64.8,All
Ohio,ED,15-34,All,2016,White,"8,369","2,077,280",40.3,All
Ohio,ED,15-34,All,2016,Black,"6,941","408,306",170,All
Ohio,ED,15-34,All,2016,Total,"15,312","2,485,586",61.6,All
Ohio,ED,35-64,All,2013,White,"11,105","3,953,889",28.1,All
Ohio,ED,35-64,All,2013,Black,"6,639","539,900",123,All
Ohio,ED,35-64,All,2013,Total,"17,744","4,493,789",39.5,All
Ohio,ED,35-64,All,2014,White,"11,081","3,924,919",28.2,All
Ohio,ED,35-64,All,2014,Black,"6,914","542,089",127.5,All
Ohio,ED,35-64,All,2014,Total,"17,995","4,467,008",40.3,All
Ohio,ED,35-64,All,2015,White,"10,400","3,898,306",26.7,All
Ohio,ED,35-64,All,2015,Black,"6,799","544,859",124.8,All
Ohio,ED,35-64,All,2015,Total,"17,200","4,443,165",38.7,All
Ohio,ED,35-64,All,2016,White,"8,773","3,867,640",22.7,All
Ohio,ED,35-64,All,2016,Black,"6,324","545,939",116,All
Ohio,ED,35-64,All,2016,Total,"15,097","4,413,579",34.2,All
Ohio,ED,65,All,2013,White,"1,918","1,575,672",12.2,All
Ohio,ED,65,All,2013,Black,583,"152,993",38.1,All
Ohio,ED,65,All,2013,Total,"2,501","1,728,665",14.5,All
Ohio,ED,65,All,2014,White,"2,013","1,616,308",12.5,All
Ohio,ED,65,All,2014,Black,619,"158,597",39,All
Ohio,ED,65,All,2014,Total,"2,632","1,774,905",14.8,All
Ohio,ED,65,All,2015,White,"1,886","1,652,789",11.4,All
Ohio,ED,65,All,2015,Black,618,"164,455",37.6,All
Ohio,ED,65,All,2015,Total,"2,504","1,817,244",13.8,All
Ohio,ED,65,All,2016,White,"1,278","1,688,518",7.6,All
Ohio,ED,65,All,2016,Black,417,"170,440",24.5,All
Ohio,ED,65,All,2016,Total,"1,695","1,858,958",9.1,All
Ohio,ED,All,All,2013,White,"33,127","9,732,620",34,All
Ohio,ED,All,All,2013,Black,"22,266","1,549,420",143.7,All
Ohio,ED,All,All,2013,Total,"55,393","11,282,040",49.1,All
Ohio,ED,All,All,2014,White,"32,984","9,728,326",33.9,All
Ohio,ED,All,All,2014,Black,"23,486","1,565,143",150.1,All
Ohio,ED,All,All,2014,Total,"56,471","11,293,469",50,All
Ohio,ED,All,All,2015,White,"29,997","9,712,810",30.9,All
Ohio,ED,All,All,2015,Black,"23,272","1,579,653",147.3,All
Ohio,ED,All,All,2015,Total,"53,272","11,292,463",47.2,All
Ohio,ED,All,All,2016,White,"26,869","9,697,106",27.7,All
Ohio,ED,All,All,2016,Black,"21,906","1,592,236",138,All
Ohio,ED,All,All,2016,Total,"48,787","11,289,342",43.2,All
Adams,ED,child,All,2016,Total,,,58.1,All
Allen,ED,child,All,2016,Total,,,59.2,All
Ashland,ED,child,All,2016,Total,,,42.6,All
Ashtabula,ED,child,All,2016,Total,,,71.5,All
Athens,ED,child,All,2016,Total,,,54.9,All
Auglaize,ED,child,All,2016,Total,,,25.1,All
Belmont,ED,child,All,2016,Total,,,24.2,All
Brown,ED,child,All,2016,Total,,,42.7,All
Butler,ED,child,All,2016,Total,,,57.6,All
Carroll,ED,child,All,2016,Total,,,35.2,All
Champaign,ED,child,All,2016,Total,,,46,All
Clark,ED,child,All,2016,Total,,,85.6,All
Clermont,ED,child,All,2016,Total,,,39.9,All
Clinton,ED,child,All,2016,Total,,,49.8,All
Columbiana,ED,child,All,2016,Total,,,99.6,All
Coshocton,ED,child,All,2016,Total,,,74.8,All
Crawford,ED,child,All,2016,Total,,,54.1,All
Cuyahoga,ED,child,All,2016,Total,,,108,All
Darke,ED,child,All,2016,Total,,,64.9,All
Defiance,ED,child,All,2016,Total,,,49.5,All
Delaware,ED,child,All,2016,Total,,,21.4,All
Erie,ED,child,All,2016,Total,,,111.1,All
Fairfield,ED,child,All,2016,Total,,,48.1,All
Fayette,ED,child,All,2016,Total,,,61.2,All
Franklin,ED,child,All,2016,Total,,,70.3,All
Fulton,ED,child,All,2016,Total,,,29.7,All
GAllia,ED,child,All,2016,Total,,,39.1,All
Geauga,ED,child,All,2016,Total,,,22.9,All
Greene,ED,child,All,2016,Total,,,81,All
Guernsey,ED,child,All,2016,Total,,,34.1,All
Hamilton,ED,child,All,2016,Total,,,74.6,All
Hancock,ED,child,All,2016,Total,,,44.2,All
Hardin,ED,child,All,2016,Total,,,44.9,All
Harrison,ED,child,All,2016,Total,,,58,All
Henry,ED,child,All,2016,Total,,,39.2,All
Highland,ED,child,All,2016,Total,,,49.8,All
Hocking,ED,child,All,2016,Total,,,54.3,All
Holmes,ED,child,All,2016,Total,,,13.2,All
Huron,ED,child,All,2016,Total,,,47,All
Jackson,ED,child,All,2016,Total,,,29,All
Jefferson,ED,child,All,2016,Total,,,55.4,All
Knox,ED,child,All,2016,Total,,,36.3,All
Lake,ED,child,All,2016,Total,,,51.3,All
Lawrence,ED,child,All,2016,Total,,,0,All
Licking,ED,child,All,2016,Total,,,33.4,All
Logan,ED,child,All,2016,Total,,,44.8,All
Lorain,ED,child,All,2016,Total,,,92.9,All
Lucas,ED,child,All,2016,Total,,,115.9,All
Madison,ED,child,All,2016,Total,,,82,All
Mahoning,ED,child,All,2016,Total,,,179.4,All
Marion,ED,child,All,2016,Total,,,67.9,All
Medina,ED,child,All,2016,Total,,,33.2,All
