"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","365","340","25",".",".",".","67","46","27",".",".",".","15","350","."
"39003","Allen County, OH","365","305","59","1",".",".","108","60","36",".",".","182","7","176","."
"39007","Ashtabula County, OH","357","320","35","2",".",".","119","54","32",".",".","213","144",".","."
"39009","Athens County, OH","56","45","11",".",".",".","67","54","28.5",".",".",".",".","56","."
"39013","Belmont County, OH","365","362","3",".",".",".","82","20","6",".",".",".","365",".","."
"39017","Butler County, OH","365","259","100","6",".",".","133","71","42",".",".","263","19","82","1"
"39023","Clark County, OH","365","233","131","1",".",".","105","67","44",".",".","140","2","223","."
"39025","Clermont County, OH","353","188","165",".",".",".","100","69","49",".",".","97",".","256","."
"39027","Clinton County, OH","212","163","47","2",".",".","122","64","44",".",".","212",".",".","."
"39029","Columbiana County, OH","365","364","1",".",".",".","59","21","6",".",".",".","312",".","53"
"39035","Cuyahoga County, OH","365","189","163","12","1",".","173","80","50","6","17","77","53","178","34"
"39041","Delaware County, OH","214","188","24","2",".",".","105","54","41",".",".","214",".",".","."
"39047","Fayette County, OH","346","314","30","2",".",".","122","50","37",".",".","346",".",".","."
"39049","Franklin County, OH","365","218","141","6",".",".","115","68","47",".","14","116","1","233","1"
"39055","Geauga County, OH","214","176","37","1",".",".","122","61","41",".",".","214",".",".","."
"39057","Greene County, OH","362","226","134","2",".",".","113","64","45",".",".","127",".","235","."
"39061","Hamilton County, OH","365","115","234","16",".",".","143","85","57",".","29","66","33","237","."
"39081","Jefferson County, OH","365","175","184","6",".",".","150","73","51",".",".","98","10","257","."
"39083","Knox County, OH","214","179","35",".",".",".","97","58","41",".",".","214",".",".","."
"39085","Lake County, OH","365","240","116","8","1",".","157","68","43","1",".","124","24","216","."
"39087","Lawrence County, OH","365","247","117","1",".",".","103","59","42",".",".","95","1","269","."
"39089","Licking County, OH","214","192","22",".",".",".","100","54","41",".",".","214",".",".","."
"39093","Lorain County, OH","363","304","59",".",".",".","93","55","35",".",".","160",".","203","."
"39095","Lucas County, OH","364","241","118","5",".",".","135","70","44",".",".","105","3","256","."
"39097","Madison County, OH","205","169","33","3",".",".","108","58","43",".",".","205",".",".","."
"39099","Mahoning County, OH","365","249","115","1",".",".","114","64","43",".",".","67","16","282","."
"39103","Medina County, OH","261","223","37","1",".",".","105","56","40",".",".","192",".","69","."
"39105","Meigs County, OH","364","362","1","1",".",".","105","24","6",".",".",".","364",".","."
"39109","Miami County, OH","214","181","32","1",".",".","105","58","41",".",".","214",".",".","."
"39113","Montgomery County, OH","365","221","142","2",".",".","112","70","45","9",".","134",".","222","."
"39115","Morgan County, OH","365","310","36","17","2",".","156","64","7",".",".",".","365",".","."
"39121","Noble County, OH","355","303","51","1",".",".","112","56","38",".",".","310",".","45","."
"39133","Portage County, OH","242","210","32",".",".",".","87","56","36",".",".","179",".","63","."
"39135","Preble County, OH","365","250","112","3",".",".","119","65","43",".",".","169","4","192","."
"39145","Scioto County, OH","365","338","27",".",".",".","94","48","19",".",".",".","49","108","208"
"39151","Stark County, OH","365","282","81","2",".",".","108","64","41","2",".","128",".","235","."
"39153","Summit County, OH","365","299","65","1",".",".","107","58","33","10",".","160","98","97","."
"39155","Trumbull County, OH","353","223","128","2",".",".","126","65","45",".",".","105",".","245","3"
"39165","Warren County, OH","342","161","176","5",".",".","112","74","52",".",".","102",".","240","."
"39167","Washington County, OH","200","169","29","2",".",".","112","58","42",".",".","200",".",".","."
"39173","Wood County, OH","214","188","25","1",".",".","101","54","39",".",".","214",".",".","."
