"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","365","286","67","12",".",".","120","71","24",".",".",".","365",".","."
"39003","Allen County, OH","365","291","59","11","4",".","195","71","31",".",".","207","142",".","16"
"39007","Ashtabula County, OH","365","289","56","15","3","2","204","77","36",".",".","205","160",".","."
"39009","Athens County, OH","109","65","43","1",".",".","110","73","42",".",".",".",".","107","2"
"39013","Belmont County, OH","363","250","80","31","2",".","171","97","29",".",".",".","348",".","15"
"39017","Butler County, OH","365","120","208","32","3","2","217","101","58",".",".","103","56","206","."
"39023","Clark County, OH","354","236","100","15","1","2","216","85","44",".",".","171","103","80","."
"39025","Clermont County, OH","365","219","119","22","5",".","200","97","44",".",".","173","192",".","."
"39027","Clinton County, OH","213","122","65","20","6",".","195","108","48",".",".","213",".",".","."
"39029","Columbiana County, OH","359","258","67","32","2",".","159","96","23",".",".",".","326",".","33"
"39033","Crawford County, OH","359","281","66","8","4",".","195","71","36",".",".","359",".",".","."
"39035","Cuyahoga County, OH","365","80","248","31","4","2","207","101","63",".","7","46","72","221","19"
"39041","Delaware County, OH","213","139","56","13","4","1","201","97","45",".",".","213",".",".","."
"39047","Fayette County, OH","348","272","65","9","2",".","177","77","36",".",".","348",".",".","."
"39049","Franklin County, OH","365","107","224","27","5","2","225","97","59",".",".","93","4","265","3"
"39053","Gallia County, OH","360","295","57","7","1",".","163","62","19",".",".",".","309","51","."
"39055","Geauga County, OH","204","119","65","13","5","2","216","100","47.5",".",".","204",".",".","."
"39057","Greene County, OH","248","173","59","12","4",".","187","84","44",".",".","209",".","19","20"
"39061","Hamilton County, OH","365","78","232","49","6",".","197","109","64",".","26","62","59","218","."
"39063","Hancock County, OH","40","40",".",".",".",".","36","31","23",".",".",".",".",".","40"
"39081","Jefferson County, OH","365","108","182","65","9","1","202","114","63","5",".","39","129","191","1"
"39083","Knox County, OH","214","151","48","12","2","1","207","87","44",".",".","214",".",".","."
"39085","Lake County, OH","365","157","137","66","3","2","207","110","54","6",".","125","192","42","."
"39087","Lawrence County, OH","365","247","108","8","2",".","164","77","41",".",".","155","110","97","3"
"39089","Licking County, OH","236","159","61","12","4",".","192","84","43",".",".","210",".",".","26"
"39093","Lorain County, OH","364","255","96","10","3",".","172","71","38",".",".","141","126","97","."
"39095","Lucas County, OH","365","116","216","27","6",".","197","99","59",".",".","87","64","213","1"
"39097","Madison County, OH","212","128","65","15","3","1","202","97","47",".",".","212",".",".","."
"39099","Mahoning County, OH","365","130","218","14","1","2","212","89","57",".",".","59","32","274","."
"39103","Medina County, OH","212","140","59","9","4",".","195","90","45",".",".","212",".",".","."
"39105","Meigs County, OH","361","304","46","11",".",".","121","65","16",".",".",".","361",".","."
"39109","Miami County, OH","214","120","75","14","3","2","210","97","48",".",".","214",".",".","."
"39111","Monroe County, OH","61","60","1",".",".",".","54","35","20",".",".",".",".",".","61"
"39113","Montgomery County, OH","365","123","214","23","3","2","217","95","57","5",".","82","1","277","."
"39115","Morgan County, OH","358","271","50","28","9",".","200","101","21",".",".",".","358",".","."
"39121","Noble County, OH","358","259","89","7","2","1","213","71","38.5",".",".","295",".","63","."
"39133","Portage County, OH","259","141","97","17","2","2","219","97","47",".",".","179",".","80","."
"39135","Preble County, OH","245","168","72","3","2",".","156","74","44",".",".","176",".","69","."
"39145","Scioto County, OH","365","291","73","1",".",".","102","62","21",".",".",".","251","109","5"
"39147","Seneca County, OH","166","164","2",".",".",".","53","30","15",".",".",".",".",".","166"
"39151","Stark County, OH","365","213","129","18","3","2","212","88","46","7",".","151","95","90","22"
"39153","Summit County, OH","365","98","199","64","3","1","204","116","64",".",".","48","124","191","2"
"39155","Trumbull County, OH","362","153","187","17","3","2","210","87","54",".",".","114",".","247","1"
"39157","Tuscarawas County, OH","352","270","72","9","1",".","166","67","27",".",".",".","352",".","."
"39165","Warren County, OH","212","131","55","16","9","1","213","112","45.5",".",".","212",".",".","."
"39167","Washington County, OH","247","173","63","8","1","2","222","84","43",".",".","210",".",".","37"
"39173","Wood County, OH","214","158","42","9","5",".","177","80","44",".",".","214",".",".","."
"39175","Wyandot County, OH","154","154",".",".",".",".","48","40","25",".",".",".",".",".","154"
