"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","358","294","64",".",".",".","97","56","36",".",".","103",".","252","3"
"23003","Aroostook County, ME","365","276","89",".",".",".","97","60","37",".",".","155",".","206","4"
"23005","Cumberland County, ME","365","287","77","1",".",".","108","59","38",".","18","199",".","145","3"
"23007","Franklin County, ME","49","49",".",".",".",".","39","19","8",".",".",".",".","49","."
"23009","Hancock County, ME","365","330","32","3",".",".","143","50","37",".",".","327",".","38","."
"23011","Kennebec County, ME","288","274","14",".",".",".","93","46","32",".",".","208","51","20","9"
"23013","Knox County, ME","178","164","13","1",".",".","119","50","36",".",".","178",".",".","."
"23017","Oxford County, ME","340","291","49",".",".",".","90","56","33",".",".","147",".","193","."
"23019","Penobscot County, ME","364","304","60",".",".",".","100","54","37",".",".","196",".","168","."
"23023","Sagadahoc County, ME","203","198","5",".",".",".","74","46","35",".",".","203",".",".","."
"23029","Washington County, ME","356","343","13",".",".",".","90","44","33",".",".","346",".","10","."
"23031","York County, ME","350","329","18","3",".",".","136","48","31",".",".","214","136",".","."
