"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","361","345","16",".",".",".","72","44","31",".",".","194",".","164","3"
"23003","Aroostook County, ME","365","333","30","1","1",".","174","50","34",".",".","241",".","107","17"
"23005","Cumberland County, ME","365","314","51",".",".",".","100","54","39",".",".","148",".","213","4"
"23009","Hancock County, ME","365","347","17","1",".",".","105","48","36","2",".","342",".","20","1"
"23011","Kennebec County, ME","361","356","5",".",".",".","67","44","28",".","129","211",".","21","."
"23013","Knox County, ME","213","204","9",".",".",".","84","47","36",".",".","213",".",".","."
"23017","Oxford County, ME","334","323","11",".",".",".","68","44","30",".",".","171",".","163","."
"23019","Penobscot County, ME","362","349","13",".",".",".","72","45","31",".",".","205",".","150","7"
"23029","Washington County, ME","363","360","3",".",".",".","71","45","34",".",".","363",".",".","."
"23031","York County, ME","231","216","14","1",".",".","115","48","38",".",".","231",".",".","."
