"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","359","342","17",".",".",".","66","42","23",".",".",".","26","333","."
"39003","Allen County, OH","365","304","56","5",".",".","119","59","39",".",".","214","9","142","."
"39007","Ashtabula County, OH","365","329","33","3",".",".","129","50","31",".",".","243","122",".","."
"39009","Athens County, OH","94","88","6",".",".",".","57","46","27",".",".",".",".","94","."
"39013","Belmont County, OH","365","350","15",".",".",".","69","36","17","1","252",".","1","106","5"
"39017","Butler County, OH","365","269","90","6",".",".","140","69","41",".",".","278","10","71","6"
"39023","Clark County, OH","365","240","121","4",".",".","140","67","44",".",".","158","3","204","."
"39025","Clermont County, OH","356","287","67","2",".",".","101","61","40",".",".","221",".","135","."
"39027","Clinton County, OH","245","202","42","1",".",".","112","64","41",".",".","245",".",".","."
"39029","Columbiana County, OH","303","302","1",".",".",".","52","12","1",".",".",".","240",".","63"
"39035","Cuyahoga County, OH","365","221","133","11",".",".","133","75","45",".","7","172","2","172","12"
"39041","Delaware County, OH","244","212","32",".",".",".","100","54","39",".",".","244",".",".","."
"39047","Fayette County, OH","364","337","27",".",".",".","80","49","35",".",".","364",".",".","."
"39049","Franklin County, OH","365","261","102","2",".",".","122","64","43",".","19","176",".","168","2"
"39053","Gallia County, OH","365","353","11","1",".",".","124","29","4",".",".",".","365",".","."
"39055","Geauga County, OH","245","196","40","9",".",".","129","77","42",".",".","245",".",".","."
"39057","Greene County, OH","363","262","100","1",".",".","122","61","41",".",".","166",".","197","."
"39061","Hamilton County, OH","365","173","184","7","1",".","159","74","51",".","14","125",".","226","."
"39067","Harrison County, OH","145","142","3",".",".",".","60","30","3","103",".",".",".","40","2"
"39081","Jefferson County, OH","365","215","148","2",".",".","108","66","47",".",".","85","27","253","."
"39083","Knox County, OH","245","208","36","1",".",".","115","64","40",".",".","245",".",".","."
"39085","Lake County, OH","365","293","61","11",".",".","138","67","38",".",".","203","6","156","."
"39087","Lawrence County, OH","365","319","44","2",".",".","119","54","36",".",".","174","1","190","."
"39089","Licking County, OH","245","210","35",".",".",".","100","54","40",".",".","245",".",".","."
"39093","Lorain County, OH","365","302","62","1",".",".","101","57","37",".",".","169",".","196","."
"39095","Lucas County, OH","365","273","82","9","1",".","151","64","41",".",".","194","22","149","."
"39097","Madison County, OH","244","209","34","1",".",".","101","58","41",".",".","244",".",".","."
"39099","Mahoning County, OH","365","304","61",".",".",".","90","55","36",".",".","137",".","227","1"
"39103","Medina County, OH","365","286","79",".",".",".","100","60","38",".",".","180",".","185","."
"39109","Miami County, OH","245","207","37","1",".",".","140","61","40",".",".","245",".",".","."
"39113","Montgomery County, OH","363","255","104","4",".",".","129","64","43","4",".","176",".","183","."
"39115","Morgan County, OH","293","292","1",".",".",".","52","9","1",".",".",".","293",".","."
"39121","Noble County, OH","343","314","29",".",".",".","97","49","34",".",".","316",".","27","."
"39133","Portage County, OH","279","233","46",".",".",".","100","60","38",".",".","224",".","55","."
"39135","Preble County, OH","365","265","99","1",".",".","107","61","42",".",".","175",".","190","."
"39145","Scioto County, OH","365","353","12",".",".",".","82","35","14",".",".",".","57","109","199"
"39151","Stark County, OH","365","237","125","3",".",".","108","69","45",".",".","160",".","205","."
"39153","Summit County, OH","365","260","104","1",".",".","105","63","41",".",".","160",".","205","."
"39155","Trumbull County, OH","353","284","65","4",".",".","108","64","39",".",".","221",".","132","."
"39165","Warren County, OH","358","260","93","5",".",".","136","67","43",".",".","189",".","169","."
"39167","Washington County, OH","245","216","26","3",".",".","105","54","39",".",".","245",".",".","."
"39173","Wood County, OH","245","213","30","2",".",".","115","61","38",".",".","245",".",".","."
