"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","365","330","35",".",".",".","70","50","29",".",".",".","11","354","."
"39003","Allen County, OH","362","300","60","2",".",".","112","58","35.5",".",".","179","3","180","."
"39007","Ashtabula County, OH","365","329","34","2",".",".","108","50","30",".",".","211","154",".","."
"39009","Athens County, OH","57","49","8",".",".",".","65","53","33",".",".",".",".","57","."
"39013","Belmont County, OH","363","363",".",".",".",".","50","24","4",".",".",".","363",".","."
"39017","Butler County, OH","365","244","118","3",".",".","119","71","42",".",".","262","14","82","7"
"39023","Clark County, OH","365","235","124","6",".",".","112","67","46",".",".","141","4","220","."
"39025","Clermont County, OH","344","215","128","1",".",".","126","65","45",".",".","101",".","243","."
"39027","Clinton County, OH","213","184","28","1",".",".","122","54","41",".",".","213",".",".","."
"39029","Columbiana County, OH","351","350","1",".",".",".","57","21","6",".",".",".","292",".","59"
"39035","Cuyahoga County, OH","365","155","202","7","1",".","151","76","54","10","9","79","48","207","12"
"39041","Delaware County, OH","211","175","33","3",".",".","112","58","41",".",".","211",".",".","."
"39047","Fayette County, OH","332","304","26","2",".",".","108","49","34.5",".",".","332",".",".","."
"39049","Franklin County, OH","365","226","133","6",".",".","136","65","45",".","3","142",".","220","."
"39055","Geauga County, OH","214","182","31","1",".",".","112","54","39",".",".","214",".",".","."
"39057","Greene County, OH","365","240","122","2","1",".","159","64","44",".",".","134",".","231","."
"39061","Hamilton County, OH","365","115","241","9",".",".","116","78","56",".",".","79","30","256","."
"39081","Jefferson County, OH","365","212","149","4",".",".","147","67","46",".",".","105","25","232","3"
"39083","Knox County, OH","214","182","30","2",".",".","108","58","39.5",".",".","214",".",".","."
"39085","Lake County, OH","365","226","129","10",".",".","150","71","44",".",".","107","28","230","."
"39087","Lawrence County, OH","365","246","116","3",".",".","110","64","44",".",".","86","5","274","."
"39089","Licking County, OH","214","190","23","1",".",".","105","51","41",".",".","214",".",".","."
"39093","Lorain County, OH","362","289","73",".",".",".","93","56","34.5",".",".","128",".","234","."
"39095","Lucas County, OH","365","252","112","1",".",".","108","61","42",".",".","118","6","241","."
"39097","Madison County, OH","213","177","36",".",".",".","97","61","42",".",".","213",".",".","."
"39099","Mahoning County, OH","365","250","114","1",".",".","119","64","43",".",".","73","10","282","."
"39103","Medina County, OH","257","212","45",".",".",".","97","58","39",".",".","186",".","71","."
"39105","Meigs County, OH","364","361","3",".",".",".","85","17","4",".",".",".","364",".","."
"39109","Miami County, OH","214","175","37","2",".",".","105","61","42",".",".","214",".",".","."
"39113","Montgomery County, OH","365","209","151","5",".",".","113","67","47","5",".","105",".","255","."
"39115","Morgan County, OH","356","305","34","16","1",".","200","67","7",".",".",".","356",".","."
"39121","Noble County, OH","348","304","43","1",".",".","108","54","37",".",".","302",".","46","."
"39133","Portage County, OH","237","213","24",".",".",".","90","51","30",".",".","164",".","73","."
"39135","Preble County, OH","361","235","125","1",".",".","113","63","45",".",".","146",".","215","."
"39145","Scioto County, OH","365","342","23",".",".",".","75","48","19",".",".",".","19","118","228"
"39151","Stark County, OH","365","245","117","3",".",".","112","67","45","1",".","103",".","261","."
"39153","Summit County, OH","365","293","69","3",".",".","146","60","35","10",".","147","113","95","."
"39155","Trumbull County, OH","365","256","108","1",".",".","133","63","41",".",".","109",".","256","."
"39165","Warren County, OH","349","127","219","3",".",".","112","71","55",".",".","30",".","319","."
"39167","Washington County, OH","213","192","20","1",".",".","112","50","41",".",".","213",".",".","."
"39173","Wood County, OH","214","186","28",".",".",".","100","54","39",".",".","214",".",".","."
