"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","366","356","9","1",".",".","112","29","10",".",".",".","366",".","."
"39003","Allen County, OH","366","323","42","1",".",".","105","54","31",".",".","211","129",".","26"
"39007","Ashtabula County, OH","366","301","55","10",".",".","136","71","32",".",".","211","155",".","."
"39009","Athens County, OH","365","281","78","5","1",".","189","67","40",".","3","299","37","26","."
"39013","Belmont County, OH","366","305","53","8",".",".","130","60","21",".",".",".","366",".","."
"39017","Butler County, OH","365","230","118","15","2",".","164","84","44",".",".","265","22","78","."
"39023","Clark County, OH","365","259","95","10","1",".","161","74","42",".",".","183","102","80","."
"39025","Clermont County, OH","256","155","97","4",".",".","105","74","47.5",".",".","171",".","85","."
"39027","Clinton County, OH","209","137","62","9","1",".","154","84","47",".",".","209",".",".","."
"39029","Columbiana County, OH","357","285","53","19",".",".","137","79","18",".",".",".","314",".","43"
"39033","Crawford County, OH","350","288","60","2",".",".","115","62.5","36",".",".","350",".",".","."
"39035","Cuyahoga County, OH","366","179","162","22","3",".","161","88","51","5","31","106","117","80","27"
"39041","Delaware County, OH","213","147","55","11",".",".","133","80","46",".",".","213",".",".","."
"39047","Fayette County, OH","347","284","61","2",".",".","122","61","37",".",".","347",".",".","."
"39049","Franklin County, OH","366","234","113","18","1",".","174","84","44","40",".","184","63","76","3"
"39055","Geauga County, OH","214","154","47","12","1",".","156","84","44",".",".","214",".",".","."
"39057","Greene County, OH","264","163","93","8",".",".","143","80","47",".",".","191",".","72","1"
"39061","Hamilton County, OH","366","175","153","34","4",".","169","101","51.5",".","31","184","27","124","."
"39063","Hancock County, OH","59","59",".",".",".",".","31","27","20",".",".",".",".",".","59"
"39081","Jefferson County, OH","366","219","119","28",".",".","147","94","45","3",".","134","149","80","."
"39083","Knox County, OH","214","154","53","7",".",".","122","80","44",".",".","214",".",".","."
"39085","Lake County, OH","366","188","122","56",".",".","147","108","48","9",".","108","197","52","."
"39087","Lawrence County, OH","364","227","120","15","2",".","166","80","44",".",".","175","105","84","."
"39089","Licking County, OH","213","147","57","9",".",".","126","84","45",".",".","213",".",".","."
"39093","Lorain County, OH","263","187","71","4","1",".","156","67","43",".",".","182",".","81","."
"39095","Lucas County, OH","366","183","170","13",".",".","129","84","50.5",".",".","142",".","204","20"
"39097","Madison County, OH","213","142","67","4",".",".","122","77","45",".",".","213",".",".","."
"39099","Mahoning County, OH","366","186","172","8",".",".","141","80","50",".",".","69","32","265","."
"39103","Medina County, OH","257","165","82","10",".",".","133","78","46",".",".","195",".","62","."
"39105","Meigs County, OH","365","337","22","6",".",".","116","43","10",".",".",".","365",".","."
"39109","Miami County, OH","214","153","58","3",".",".","112","74","44",".",".","214",".",".","."
"39113","Montgomery County, OH","366","172","179","14","1",".","174","84","51","11",".","103",".","252","."
"39115","Morgan County, OH","366","276","37","46","7",".","200","110","21",".",".",".","366",".","."
"39121","Noble County, OH","360","291","66","3",".",".","126","64","38",".",".","312",".","48","."
"39133","Portage County, OH","258","202","54","2",".",".","115","63","39",".",".","161",".","97","."
"39135","Preble County, OH","262","165","96","1",".",".","105","74","47",".",".","185",".","77","."
"39145","Scioto County, OH","366","209","156","1",".",".","110","66","46",".",".",".","19","330","17"
"39151","Stark County, OH","352","239","93","20",".",".","140","84","41","108",".","184",".","60","."
"39153","Summit County, OH","366","241","108","16","1",".","164","80","43","4",".","169","109","84","."
"39155","Trumbull County, OH","258","164","80","14",".",".","140","88","44",".",".","186",".","64","8"
"39157","Tuscarawas County, OH","366","331","35",".",".",".","90","49","20",".",".",".","366",".","."
"39165","Warren County, OH","258","144","96","16","2",".","166","93","48",".",".","181",".","77","."
"39167","Washington County, OH","214","145","59","9","1",".","174","80","45",".",".","214",".",".","."
"39173","Wood County, OH","214","164","47","3",".",".","122","71","43",".",".","214",".",".","."
