"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","366","311","55",".",".",".","90","53","31.5",".",".",".","10","356","."
"39003","Allen County, OH","366","262","81","22","1",".","169","90","39",".",".","203","3","160","."
"39007","Ashtabula County, OH","366","301","56","7","2",".","179","77","31",".",".","209","157",".","."
"39009","Athens County, OH","55","44","11",".",".",".","68","56","34",".",".",".",".","55","."
"39013","Belmont County, OH","366","357","8","1",".",".","105","33","9",".",".",".","366",".","."
"39017","Butler County, OH","366","205","126","31","4",".","179","100","46.5",".",".","273","14","73","6"
"39023","Clark County, OH","366","194","150","21","1",".","172","87","50",".",".","150","3","213","."
"39025","Clermont County, OH","366","207","136","17","5","1","202","90","47",".",".","157",".","209","."
"39027","Clinton County, OH","214","123","77","10","4",".","187","97","49",".",".","214",".",".","."
"39029","Columbiana County, OH","365","364","1",".",".",".","67","21","6",".",".",".","309",".","56"
"39035","Cuyahoga County, OH","366","96","214","47","9",".","192","108","63","8","1","88","48","210","11"
"39041","Delaware County, OH","213","128","70","14","1",".","185","93","46",".",".","213",".",".","."
"39047","Fayette County, OH","350","265","75","9","1",".","200","77","38",".",".","350",".",".","."
"39049","Franklin County, OH","366","197","145","21","2","1","201","90","49",".",".","157",".","206","3"
"39055","Geauga County, OH","214","130","66","16","2",".","195","97","46.5",".",".","214",".",".","."
"39057","Greene County, OH","363","217","134","11","1",".","164","80","47",".",".","149",".","214","."
"39061","Hamilton County, OH","366","117","215","29","5",".","182","100","58",".",".","104","40","222","."
"39081","Jefferson County, OH","366","159","183","24",".",".","140","84","54",".",".","120","19","227","."
"39083","Knox County, OH","214","135","71","7","1",".","182","87","45",".",".","214",".",".","."
"39085","Lake County, OH","366","192","129","36","8","1","203","108","49",".",".","149","59","158","."
"39087","Lawrence County, OH","366","219","137","9","1",".","161","74","46",".",".","136","3","227","."
"39089","Licking County, OH","212","125","70","15","2",".","200","93","46.5",".",".","212",".",".","."
"39093","Lorain County, OH","364","264","86","12","2",".","159","74","40",".",".","171",".","193","."
"39095","Lucas County, OH","366","213","129","21","3",".","172","84","46.5",".",".","134",".","215","17"
"39097","Madison County, OH","214","126","78","9","1",".","174","90","47",".",".","214",".",".","."
"39099","Mahoning County, OH","366","215","141","8","2",".","169","74","46",".",".","115","16","234","1"
"39103","Medina County, OH","295","191","93","10","1",".","161","80","45",".",".","199",".","96","."
"39105","Meigs County, OH","364","364",".",".",".",".","49","13","3",".",".",".","364",".","."
"39109","Miami County, OH","213","131","68","13","1",".","177","90","47",".",".","213",".",".","."
"39113","Montgomery County, OH","366","191","158","16","1",".","169","84","50","10",".","144",".","212","."
"39115","Morgan County, OH","360","322","23","15",".",".","148","57","9",".",".",".","360",".","."
"39121","Noble County, OH","323","248","70","5",".",".","115","68","40",".",".","291",".","32","."
"39133","Portage County, OH","259","176","76","6","1",".","164","77","42",".",".","188",".","71","."
"39135","Preble County, OH","366","206","147","12","1",".","159","77","48",".",".","167","1","198","."
"39145","Scioto County, OH","366","332","34",".",".",".","69","49","20",".",".",".","22","114","230"
"39151","Stark County, OH","366","176","169","20","1",".","192","84","51.5",".",".","153",".","213","."
"39153","Summit County, OH","366","178","186","1","1",".","151","76","51","19",".","67","83","197","."
"39155","Trumbull County, OH","366","226","123","15","2",".","187","80","45",".",".","142",".","223","1"
"39157","Tuscarawas County, OH","292","288","4",".",".",".","81","27","10.5",".",".",".","292",".","."
"39165","Warren County, OH","361","156","194","9","2",".","166","77","53",".",".","105",".","256","."
"39167","Washington County, OH","214","134","73","7",".",".","150","90","47",".",".","214",".",".","."
"39173","Wood County, OH","214","145","56","12","1",".","174","93","44",".",".","214",".",".","."
