"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","366","358","8",".",".",".","80","37","23",".",".",".","6","360","."
"39003","Allen County, OH","366","316","47","3",".",".","122","58","34",".",".","206",".","160","."
"39007","Ashtabula County, OH","366","324","36","6",".",".","126","54","30",".",".","213","153",".","."
"39009","Athens County, OH","60","58","2",".",".",".","56","41.5","27",".",".",".",".","60","."
"39013","Belmont County, OH","366","345","21",".",".",".","100","43","16.5","1","257",".","1","101","6"
"39017","Butler County, OH","366","259","96","11",".",".","136","74","41.5",".",".","284","12","67","3"
"39023","Clark County, OH","366","270","90","6",".",".","119","65","42",".",".","173","3","190","."
"39025","Clermont County, OH","366","242","119","5",".",".","133","67","44",".",".","146",".","220","."
"39027","Clinton County, OH","211","154","53","4",".",".","112","74","44",".",".","211",".",".","."
"39029","Columbiana County, OH","365","364","1",".",".",".","52","16","1",".",".",".","305",".","60"
"39035","Cuyahoga County, OH","366","207","148","6","5",".","200","74","47",".","12","136","32","179","7"
"39041","Delaware County, OH","212","179","32","1",".",".","112","67","41",".",".","212",".",".","."
"39047","Fayette County, OH","353","310","42","1",".",".","108","54","37",".",".","353",".",".","."
"39049","Franklin County, OH","366","274","83","9",".",".","126","64","42",".","38","183",".","144","1"
"39055","Geauga County, OH","214","155","49","10",".",".","140","74","44",".",".","214",".",".","."
"39057","Greene County, OH","366","285","80","1",".",".","105","64","40",".",".","185",".","181","."
"39061","Hamilton County, OH","366","199","155","12",".",".","140","74","49",".","28","140",".","198","."
"39081","Jefferson County, OH","366","194","168","4",".",".","105","68","49",".",".","105","8","253","."
"39083","Knox County, OH","213","175","38",".",".",".","100","64","41",".",".","213",".",".","."
"39085","Lake County, OH","366","275","78","13",".",".","143","71","39","1",".","171","11","183","."
"39087","Lawrence County, OH","366","288","75","3",".",".","119","58","39",".",".","147",".","219","."
"39089","Licking County, OH","214","172","39","3",".",".","108","64","43",".",".","214",".",".","."
"39093","Lorain County, OH","365","316","47","2",".",".","115","54","34",".",".","205",".","159","1"
"39095","Lucas County, OH","366","288","74","4",".",".","112","61","39",".",".","181","32","153","."
"39097","Madison County, OH","213","161","50","2",".",".","112","64","43",".",".","213",".",".","."
"39099","Mahoning County, OH","366","311","55",".",".",".","75","53","35",".",".","64",".","302","."
"39103","Medina County, OH","362","285","76","1",".",".","105","59","40",".",".","183",".","179","."
"39105","Meigs County, OH","187","185","2",".",".",".","64","13","1",".",".",".","187",".","."
"39109","Miami County, OH","213","164","46","3",".",".","101","67","43",".",".","213",".",".","."
"39113","Montgomery County, OH","366","276","84","6",".",".","112","67","40.5",".",".","178",".","188","."
"39115","Morgan County, OH","363","363",".",".",".",".","40","9","1",".",".",".","363",".","."
"39121","Noble County, OH","348","307","39","2",".",".","105","51","37.5",".",".","321",".","27","."
"39133","Portage County, OH","247","223","24",".",".",".","90","50","37",".",".","202",".","45","."
"39135","Preble County, OH","366","295","70","1",".",".","105","61","40",".",".","265","2","99","."
"39145","Scioto County, OH","366","355","10","1",".",".","129","42","15",".",".",".","38","116","212"
"39151","Stark County, OH","366","267","93","6",".",".","119","67","40","2",".","174",".","190","."
"39153","Summit County, OH","366","260","105","1",".",".","112","61","42.5",".",".","96",".","270","."
"39155","Trumbull County, OH","366","300","61","5",".",".","133","61","39",".",".","185",".","178","3"
"39165","Warren County, OH","360","238","113","9",".",".","129","71","43.5",".",".","176",".","184","."
"39167","Washington County, OH","214","189","25",".",".",".","90","54","40",".",".","214",".",".","."
"39173","Wood County, OH","214","170","41","3",".",".","115","64","41",".",".","214",".",".","."
