"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","346","329","13","4",".",".","132","26","6",".",".",".","346",".","."
"39003","Allen County, OH","362","318","40","4",".",".","105","54","27",".",".","203","132",".","27"
"39007","Ashtabula County, OH","365","324","36","5",".",".","150","51","30",".",".","210","155",".","."
"39009","Athens County, OH","365","289","74","2",".",".","119","62","36","25","23","185","98","34","."
"39013","Belmont County, OH","365","347","16","2",".",".","114","43","16",".",".",".","365",".","."
"39017","Butler County, OH","365","245","108","12",".",".","129","76","43",".",".","264","12","89","."
"39023","Clark County, OH","365","275","82","8",".",".","119","67","38",".",".","174","102","89","."
"39025","Clermont County, OH","264","180","82","2",".",".","101","67","44",".",".","178",".","86","."
"39027","Clinton County, OH","210","155","52","3",".",".","108","75.5","44",".",".","210",".",".","."
"39029","Columbiana County, OH","364","298","51","15",".",".","143","72","16",".",".",".","316",".","48"
"39033","Crawford County, OH","355","321","33","1",".",".","101","50","34",".",".","355",".",".","."
"39035","Cuyahoga County, OH","365","222","133","10",".",".","140","78","45","6","48","122","94","74","21"
"39041","Delaware County, OH","214","170","42","2",".",".","115","67","41",".",".","214",".",".","."
"39047","Fayette County, OH","356","310","46",".",".",".","100","54","35",".",".","356",".",".","."
"39049","Franklin County, OH","365","265","95","5",".",".","129","67","40","63",".","176","39","85","2"
"39055","Geauga County, OH","211","175","33","3",".",".","115","58","39",".",".","211",".",".","."
"39057","Greene County, OH","264","178","81","5",".",".","119","71","44",".",".","179",".","85","."
"39061","Hamilton County, OH","365","151","206","8",".",".","133","79","53",".","8","91","6","258","2"
"39063","Hancock County, OH","54","54",".",".",".",".","39","29","19",".",".",".",".",".","54"
"39081","Jefferson County, OH","363","259","98","5","1",".","151","74","40",".",".","141","126","95","1"
"39083","Knox County, OH","212","184","28",".",".",".","100","54","39",".",".","212",".",".","."
"39085","Lake County, OH","365","195","108","56","6",".","176","110","48","3",".","119","206","37","."
"39087","Lawrence County, OH","363","271","90","2",".",".","108","64","38",".",".","164","102","97","."
"39089","Licking County, OH","214","169","42","3",".",".","119","67","42",".",".","214",".",".","."
"39093","Lorain County, OH","263","202","60","1",".",".","123","64","40",".",".","184",".","78","1"
"39095","Lucas County, OH","365","243","115","6","1",".","154","74","44",".",".","180",".","103","82"
"39097","Madison County, OH","214","169","44","1",".",".","112","67","41",".",".","214",".",".","."
"39099","Mahoning County, OH","365","256","109",".",".",".","100","67","41",".",".","148","107","110","."
"39103","Medina County, OH","304","210","92","2",".",".","101","64","43",".","2","151","1","150","."
"39105","Meigs County, OH","365","337","24","4",".",".","148","44","9",".",".",".","365",".","."
"39109","Miami County, OH","214","172","38","4",".",".","105","67","41",".",".","214",".",".","."
"39113","Montgomery County, OH","365","240","118","7",".",".","129","74","44","47",".","172",".","146","."
"39115","Morgan County, OH","363","288","40","30","5",".","200","96","14",".",".",".","363",".","."
"39121","Noble County, OH","353","288","63","2",".",".","105","61","38",".",".","311",".","42","."
"39133","Portage County, OH","259","200","59",".",".",".","97","60","38",".",".","163",".","96","."
"39135","Preble County, OH","261","184","75","2",".",".","119","66","44",".",".","182",".","79","."
"39145","Scioto County, OH","365","315","49","1",".",".","101","54","25",".",".",".","81","108","176"
"39151","Stark County, OH","365","196","167","2",".",".","126","74","49","27",".","86",".","252","."
"39153","Summit County, OH","365","193","168","4",".",".","105","75","49",".",".","90","29","246","."
"39155","Trumbull County, OH","239","197","38","4",".",".","108","61","41",".",".","214",".",".","25"
"39157","Tuscarawas County, OH","364","344","19","1",".",".","103","41","14",".",".",".","364",".","."
"39165","Warren County, OH","264","167","89","8",".",".","133","74","46",".",".","179",".","85","."
"39167","Washington County, OH","214","172","42",".",".",".","100","61","40.5",".",".","214",".",".","."
"39173","Wood County, OH","214","179","34","1",".",".","101","64","40",".",".","214",".",".","."
