"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","358","334","24",".",".",".","69","44","23.5",".",".",".","6","352","."
"39003","Allen County, OH","365","314","50","1",".",".","105","54","34",".",".","190","2","173","."
"39007","Ashtabula County, OH","365","319","43","3",".",".","143","54","31",".",".","208","157",".","."
"39009","Athens County, OH","57","50","7",".",".",".","67","54","28",".",".",".",".","57","."
"39013","Belmont County, OH","365","351","14",".",".",".","76","34","10",".","119",".","189","56","1"
"39017","Butler County, OH","365","257","103","5",".",".","113","73","42",".",".","266","22","72","5"
"39023","Clark County, OH","365","238","120","7",".",".","133","68","44",".",".","134",".","231","."
"39025","Clermont County, OH","357","240","114","3",".",".","136","67","44",".",".","127",".","230","."
"39027","Clinton County, OH","214","182","29","3",".",".","119","61","41",".",".","214",".",".","."
"39029","Columbiana County, OH","364","364",".",".",".",".","50","18","3",".",".",".","306",".","58"
"39035","Cuyahoga County, OH","365","195","161","9",".",".","112","77","49","3","26","125","57","113","41"
"39041","Delaware County, OH","214","187","26","1",".",".","108","54","39",".",".","214",".",".","."
"39047","Fayette County, OH","327","294","30","3",".",".","115","51","37",".",".","327",".",".","."
"39049","Franklin County, OH","365","236","124","5",".",".","112","67","44",".","35","136",".","193","1"
"39055","Geauga County, OH","214","164","43","7",".",".","133","84","44",".",".","214",".",".","."
"39057","Greene County, OH","365","271","90","4",".",".","105","61","42",".",".","153",".","212","."
"39061","Hamilton County, OH","365","190","169","5","1",".","151","77","50",".","41","132","7","185","."
"39081","Jefferson County, OH","365","169","191","5",".",".","117","74","52",".",".","91","16","258","."
"39083","Knox County, OH","210","178","28","4",".",".","119","61","40",".",".","210",".",".","."
"39085","Lake County, OH","365","241","110","13","1",".","156","71","43",".",".","135","34","196","."
"39087","Lawrence County, OH","365","274","88","3",".",".","112","64","41",".",".","120",".","245","."
"39089","Licking County, OH","213","177","34","2",".",".","108","58","42",".",".","213",".",".","."
"39093","Lorain County, OH","364","319","45",".",".",".","93","54","34",".",".","177",".","187","."
"39095","Lucas County, OH","365","269","95","1",".",".","113","64","41",".",".","140","1","224","."
"39097","Madison County, OH","214","172","41","1",".",".","108","64","42",".",".","214",".",".","."
"39099","Mahoning County, OH","364","255","108","1",".",".","112","68","42",".",".","126","6","231","1"
"39103","Medina County, OH","354","208","146",".",".",".","97","67","46",".",".","78",".","276","."
"39105","Meigs County, OH","358","353","5",".",".",".","71","20","3",".",".",".","358",".","."
"39109","Miami County, OH","213","177","34","2",".",".","105","61","42",".",".","213",".",".","."
"39113","Montgomery County, OH","365","254","108","3",".",".","108","64","43","1",".","155",".","209","."
"39115","Morgan County, OH","365","342","17","6",".",".","141","31","4",".",".",".","365",".","."
"39121","Noble County, OH","360","310","49","1",".",".","112","55.5","37",".",".","328",".","32","."
"39133","Portage County, OH","260","228","32",".",".",".","93","55.5","36",".",".","188",".","72","."
"39135","Preble County, OH","365","276","87","2",".",".","119","61","40",".",".","231","2","132","."
"39145","Scioto County, OH","365","342","23",".",".",".","92","44","17",".",".",".","47","111","207"
"39151","Stark County, OH","365","271","87","7",".",".","108","67","40","1",".","132",".","232","."
"39153","Summit County, OH","365","177","187","1",".",".","135","75","52","1",".","46","2","316","."
"39155","Trumbull County, OH","293","228","62","3",".",".","112","61","40",".",".","209",".","75","9"
"39165","Warren County, OH","344","237","103","4",".",".","129","67","42",".",".","167",".","177","."
"39167","Washington County, OH","214","181","32","1",".",".","115","61","40",".",".","214",".",".","."
"39173","Wood County, OH","212","188","24",".",".",".","77","51","41",".",".","212",".",".","."
