"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","362","316","44","2",".",".","130","57","16",".",".",".","362",".","."
"39003","Allen County, OH","365","286","61","17","1",".","156","84","31",".",".","213","129",".","23"
"39007","Ashtabula County, OH","359","289","46","18","6",".","182","90","34",".",".","212","147",".","."
"39009","Athens County, OH","362","236","100","25","1",".","151","93","42",".","22","203","105","32","."
"39013","Belmont County, OH","325","246","64","15",".",".","130","80","24",".",".",".","325",".","."
"39017","Butler County, OH","365","182","129","48","6",".","197","112","51",".",".","255","43","67","."
"39023","Clark County, OH","365","233","111","19","2",".","177","87","44",".",".","182","103","80","."
"39025","Clermont County, OH","255","129","95","27","4",".","169","108","50",".",".","181",".","74","."
"39027","Clinton County, OH","214","105","67","40","2",".","164","115","51",".",".","214",".",".","."
"39029","Columbiana County, OH","363","294","55","13","1",".","161","77","18",".",".",".","322",".","41"
"39033","Crawford County, OH","323","272","42","9",".",".","122","67","35",".",".","323",".",".","."
"39035","Cuyahoga County, OH","365","148","179","33","5",".","195","101","58","1","54","83","144","65","18"
"39041","Delaware County, OH","213","130","56","26","1",".","154","105","48",".",".","213",".",".","."
"39047","Fayette County, OH","361","259","80","22",".",".","147","90","40",".",".","361",".",".","."
"39049","Franklin County, OH","365","205","119","35","6",".","172","105","46","20",".","180","44","79","42"
"39055","Geauga County, OH","214","178","35","1",".",".","101","64","38",".",".","214",".",".","."
"39057","Greene County, OH","262","144","101","16","1",".","166","90","48",".",".","182",".","78","2"
"39061","Hamilton County, OH","365","111","190","56","8",".","187","120","61",".","35","141","44","145","."
"39063","Hancock County, OH","54","54",".",".",".",".","33","31","22",".",".",".",".",".","54"
"39081","Jefferson County, OH","365","191","132","40","2",".","176","102","48","32",".","141","114","78","."
"39083","Knox County, OH","214","135","65","13","1",".","156","90","45",".",".","214",".",".","."
"39085","Lake County, OH","365","183","124","54","4",".","169","110","50","4",".","109","189","63","."
"39087","Lawrence County, OH","365","215","125","23","2",".","159","91","45",".",".","163","108","94","."
"39089","Licking County, OH","214","126","70","18",".",".","143","97","47",".",".","214",".",".","."
"39093","Lorain County, OH","262","157","92","12","1",".","163","82","45",".",".","174",".","87","1"
"39095","Lucas County, OH","365","221","125","15","4",".","185","92","44",".",".","141","91","78","55"
"39097","Madison County, OH","212","108","77","25","2",".","164","105","50",".",".","212",".",".","."
"39099","Mahoning County, OH","365","239","101","24","1",".","164","87","41",".",".","156","126","83","."
"39103","Medina County, OH","259","181","76","2",".",".","108","67","40",".",".","171",".","88","."
"39105","Meigs County, OH","358","329","25","4",".",".","122","44","11",".",".",".","358",".","."
"39109","Miami County, OH","214","147","57","10",".",".","143","84","45",".",".","214",".",".","."
"39113","Montgomery County, OH","365","239","110","15","1",".","153","77","41","101",".","168",".","96","."
"39115","Morgan County, OH","365","291","38","28","8",".","172","97","20",".",".",".","365",".","."
"39121","Noble County, OH","363","261","85","17",".",".","143","80","41",".",".","304",".","59","."
"39133","Portage County, OH","256","167","75","13","1",".","161","81","43",".",".","167",".","89","."
"39135","Preble County, OH","263","151","104","8",".",".","129","83","47",".",".","183",".","80","."
"39145","Scioto County, OH","365","278","84","3",".",".","117","62","33",".",".",".","111","105","149"
"39151","Stark County, OH","355","189","123","36","7",".","182","108","47","106",".","188",".","61","."
"39153","Summit County, OH","365","210","117","30","8",".","179","101","46","13",".","171","106","75","."
"39155","Trumbull County, OH","262","140","90","30","2",".","166","108","49.5",".",".","185",".","77","."
"39157","Tuscarawas County, OH","359","309","47","3",".",".","104","56","23",".",".",".","359",".","."
"39165","Warren County, OH","258","115","91","48","4",".","195","122","54",".",".","196",".","62","."
"39167","Washington County, OH","229","128","76","21","4",".","164","105","49",".",".","214",".",".","15"
"39173","Wood County, OH","213","148","49","13","3",".","159","93","44",".",".","213",".",".","."
"39175","Wyandot County, OH","55","42","12","1",".",".","107","56","30",".",".",".",".",".","55"
