"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","365","361","4",".",".",".","61","36","20",".",".",".","41","324","."
"39003","Allen County, OH","364","303","61",".",".",".","97","56","39",".",".","208","32","124","."
"39007","Ashtabula County, OH","358","334","23","1",".",".","112","47","34",".",".","245","113",".","."
"39009","Athens County, OH","120","116","4",".",".",".","56","42","25",".",".",".",".","120","."
"39013","Belmont County, OH","365","349","16",".",".",".","66","38","15","10","254",".","2","90","9"
"39017","Butler County, OH","365","247","105","13",".",".","147","78","44",".",".","270","27","63","5"
"39023","Clark County, OH","365","220","143","2",".",".","105","64","45",".",".","150","3","212","."
"39025","Clermont County, OH","358","287","67","4",".",".","140","58","40",".",".","209",".","149","."
"39027","Clinton County, OH","244","203","41",".",".",".","100","58","43",".",".","244",".",".","."
"39029","Columbiana County, OH","350","350",".",".",".",".","26","10.5","1",".",".",".","288",".","62"
"39035","Cuyahoga County, OH","365","188","173","4",".",".","108","70","50",".",".","123","2","227","13"
"39041","Delaware County, OH","241","214","27",".",".",".","84","51","41",".",".","241",".",".","."
"39047","Fayette County, OH","355","332","23",".",".",".","74","48","38",".",".","355",".",".","."
"39049","Franklin County, OH","365","244","120","1",".",".","101","65","46",".","4","169",".","191","1"
"39053","Gallia County, OH","365","337","26","2",".",".","117","46","6",".",".",".","365",".","."
"39055","Geauga County, OH","230","189","39","2",".",".","119","61","42",".",".","230",".",".","."
"39057","Greene County, OH","243","213","30",".",".",".","90","54","41",".",".","243",".",".","."
"39061","Hamilton County, OH","365","162","197","6",".",".","119","77","52",".","7","141",".","217","."
"39067","Harrison County, OH","293","290","3",".",".",".","59","30","2","236",".",".",".","55","2"
"39081","Jefferson County, OH","365","232","131","2",".",".","123","63","45",".",".","108","7","250","."
"39083","Knox County, OH","245","218","27",".",".",".","93","51","41",".",".","245",".",".","."
"39085","Lake County, OH","365","317","43","5",".",".","115","54","37",".",".","228","1","136","."
"39087","Lawrence County, OH","365","328","37",".",".",".","77","51","39",".",".","193",".","172","."
"39089","Licking County, OH","245","223","22",".",".",".","80","50","41",".",".","245",".",".","."
"39093","Lorain County, OH","362","313","49",".",".",".","72","52","38",".",".","197",".","165","."
"39095","Lucas County, OH","365","293","71","1",".",".","143","61","40",".",".","193","15","157","."
"39097","Madison County, OH","245","209","36",".",".",".","93","54","42",".",".","245",".",".","."
"39099","Mahoning County, OH","365","308","57",".",".",".","84","54","39",".",".","172","5","188","."
"39103","Medina County, OH","353","304","49",".",".",".","78","53","38",".",".","156",".","197","."
"39109","Miami County, OH","241","226","15",".",".",".","77","49","40",".",".","241",".",".","."
"39113","Montgomery County, OH","365","229","136",".",".",".","94","64","45",".",".","163",".","201","1"
"39115","Morgan County, OH","351","351",".",".",".",".","29","10","1",".",".",".","351",".","."
"39121","Noble County, OH","361","336","25",".",".",".","87","49","37",".",".","341",".","20","."
"39133","Portage County, OH","270","252","18",".",".",".","87","49","37",".",".","213",".","57","."
"39135","Preble County, OH","364","266","98",".",".",".","93","60","42.5",".",".","215",".","149","."
"39145","Scioto County, OH","365","356","9",".",".",".","78","37","14",".",".",".","52","103","210"
"39151","Stark County, OH","365","226","139",".",".",".","100","67","46",".",".","160",".","205","."
"39153","Summit County, OH","365","279","83","3",".",".","115","61","42",".",".","167","2","196","."
"39155","Trumbull County, OH","362","295","67",".",".",".","100","58","40",".",".","205",".","157","."
"39165","Warren County, OH","360","284","73","3",".",".","122","62.5","42.5",".",".","193",".","167","."
"39167","Washington County, OH","245","219","26",".",".",".","87","51","41",".",".","245",".",".","."
"39173","Wood County, OH","244","225","19",".",".",".","87","49","38",".",".","244",".",".","."
