"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","362","265","97",".",".",".","98","64","27.5",".",".",".","189","173","."
"39003","Allen County, OH","365","221","132","11","1",".","153","81","45",".",".","175","4","183","3"
"39007","Ashtabula County, OH","346","277","51","17","1",".","156","77","35",".",".","214","132",".","."
"39009","Athens County, OH","361","286","70","5",".",".","119","67","36",".","31","180","119","31","."
"39013","Belmont County, OH","363","350","11","2",".",".","103","36","9",".",".",".","363",".","."
"39017","Butler County, OH","363","208","127","27","1",".","151","93","48",".",".","292","9","62","."
"39023","Clark County, OH","365","178","177","10",".",".","136","83","51",".",".","141","15","209","."
"39025","Clermont County, OH","365","152","198","14","1",".","154","81","53",".",".","125",".","240","."
"39027","Clinton County, OH","213","115","89","9",".",".","133","87","49",".",".","213",".",".","."
"39029","Columbiana County, OH","365","357","8",".",".",".","100","30","9",".",".",".","309",".","56"
"39033","Crawford County, OH","280","231","48","1",".",".","112","64","41",".",".","280",".",".","."
"39035","Cuyahoga County, OH","365","99","228","37","1",".","154","101","63",".","3","90","63","208","1"
"39041","Delaware County, OH","212","138","66","8",".",".","133","84","44",".",".","212",".",".","."
"39047","Fayette County, OH","352","277","70","5",".",".","129","67","40",".",".","352",".",".","."
"39049","Franklin County, OH","365","182","164","18","1",".","156","84","51","1",".","160",".","201","3"
"39055","Geauga County, OH","214","138","68","7","1",".","154","84","46",".",".","214",".",".","."
"39057","Greene County, OH","365","178","183","4",".",".","115","80","51",".",".","153",".","212","."
"39061","Hamilton County, OH","365","54","279","29","3",".","172","97","68",".","2","88","9","266","."
"39063","Hancock County, OH","61","61",".",".",".",".","39","34","22",".",".",".",".",".","61"
"39081","Jefferson County, OH","365","170","178","16","1",".","152","87","52",".",".","92","28","243","2"
"39083","Knox County, OH","214","154","56","4",".",".","122","74","42",".",".","214",".",".","."
"39085","Lake County, OH","365","162","132","69","2",".","159","112","55",".",".","118","106","141","."
"39087","Lawrence County, OH","365","164","187","13","1",".","152","84","53",".",".","115","63","187","."
"39089","Licking County, OH","214","129","75","10",".",".","136","80","46",".",".","214",".",".","."
"39093","Lorain County, OH","361","186","163","12",".",".","140","81","49",".",".","84",".","277","."
"39095","Lucas County, OH","360","209","143","7","1",".","164","74","46",".",".","126",".","201","33"
"39097","Madison County, OH","210","132","70","8",".",".","126","84","46.5",".",".","210",".",".","."
"39099","Mahoning County, OH","365","188","169","8",".",".","140","74","50",".",".","84","21","260","."
"39103","Medina County, OH","324","205","113","5","1",".","161","80","44",".","1","247","2","74","."
"39105","Meigs County, OH","365","326","31","8",".",".","149","52","9",".",".",".","365",".","."
"39109","Miami County, OH","213","146","65","2",".",".","133","77","44",".",".","213",".",".","."
"39113","Montgomery County, OH","365","155","189","21",".",".","140","87","54",".",".","141",".","224","."
"39115","Morgan County, OH","365","320","20","23","2",".","200","70","10",".",".",".","365",".","."
"39121","Noble County, OH","340","246","82","12",".",".","136","75.5","42",".",".","301",".","39","."
"39133","Portage County, OH","260","195","61","4",".",".","126","64","39.5",".",".","177",".","83","."
"39135","Preble County, OH","359","179","175","5",".",".","136","74","51",".",".","139",".","220","."
"39145","Scioto County, OH","365","301","63","1",".",".","110","57","26",".",".",".","87","106","172"
"39151","Stark County, OH","365","145","195","24","1",".","156","92","56","3",".","129",".","233","."
"39153","Summit County, OH","365","120","227","18",".",".","140","89","59",".",".","69","9","287","."
"39155","Trumbull County, OH","360","203","150","6","1",".","159","77","47",".",".","136",".","223","1"
"39157","Tuscarawas County, OH","360","343","15","2",".",".","115","39","14",".",".",".","360",".","."
"39165","Warren County, OH","365","137","217","11",".",".","150","84","55",".",".","120",".","245","."
"39167","Washington County, OH","214","130","74","10",".",".","129","90","46",".",".","214",".",".","."
"39173","Wood County, OH","214","159","53","2",".",".","105","71","44",".",".","214",".",".","."
