"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","365","317","46","1","1",".","158","54","34",".",".","139",".","226","."
"23003","Aroostook County, ME","365","336","28","1",".",".","101","48","33",".",".","273",".","69","23"
"23005","Cumberland County, ME","365","306","53","4","2",".","177","56","37",".","13","259","1","90","2"
"23009","Hancock County, ME","365","320","40","3","2",".","159","54","37",".",".","345",".","20","."
"23011","Kennebec County, ME","237","222","14","1",".",".","129","47","36",".",".","212",".",".","25"
"23013","Knox County, ME","212","191","18","2","1",".","166","50","40",".",".","212",".",".","."
"23017","Oxford County, ME","230","229","1",".",".",".","54","46","34",".",".","230",".",".","."
"23019","Penobscot County, ME","365","325","40",".",".",".","90","51","34",".",".","268",".","97","."
"23021","Piscataquis County, ME","317","307","10",".",".",".","71","31","15",".",".",".",".","317","."
"23023","Sagadahoc County, ME","213","201","11","1",".",".","101","47","38",".",".","213",".",".","."
"23029","Washington County, ME","301","295","5","1",".",".","126","44","35",".",".","270",".","31","."
"23031","York County, ME","352","306","40","5","1",".","174","54","36",".",".","352",".",".","."
