Year of Diagnosis/Death,Incidence,,,,,,,,,Mortality,,,,,,,,
,Males and Females,,,Males,,,Females,,,Males and Females,,,Males,,,Females,,
,Cases,"Rate per 100,000 Population",95% CI,Cases,"Rate per 100,000 Males",95% CI,Cases,"Rate per 100,000 Females",95% CI,Deaths,"Rate per 100,000 Population",95% CI,Deaths,"Rate per 100,000 Males",95% CI,Deaths,"Rate per 100,000 Females",95% CI
2009,3815,18.2,17.6-18.8,2187,23.7,22.7-24.7,1628,14.4,13.7-15.2,460,2.2,2.0-2.4,277,3.1,2.7-3.5,183,1.5,1.3-1.8
2010,3562,16.8,16.2-17.4,2009,21.5,20.5-22.4,1553,13.6,12.9-14.3,467,2.2,2.0-2.4,277,3.0,2.6-3.3,190,1.6,1.3-1.8
2011,4060,18.7,18.1-19.3,2316,24.2,23.2-25.2,1744,15.0,14.3-15.7,470,2.1,1.9-2.3,293,3.1,2.8-3.5,177,1.4,1.2-1.6
2012,3846,17.5,16.9-18.1,2157,22.1,21.2-23.1,1689,14.4,13.7-15.1,536,2.4,2.2-2.6,324,3.4,3.1-3.8,212,1.6,1.4-1.9
2013,4287,19.2,18.7-19.8,2440,24.5,23.5-25.5,1847,15.6,14.9-16.4,503,2.2,2.0-2.4,327,3.4,3.0-3.8,176,1.4,1.2-1.6
2014,4182,18.6,18.0-19.2,2391,23.8,22.8-24.8,1791,15.0,14.3-15.7,450,1.9,1.8-2.1,290,2.9,2.6-3.3,160,1.2,1.0-1.4
2015,4122,17.9,17.4-18.5,2395,23.5,22.5-24.4,1727,14.1,13.4-14.8,378,1.6,1.4-1.8,241,2.4,2.1-2.7,137,1.1,0.9-1.3
2016,4170,17.9,17.4-18.5,2431,23.3,22.4-24.3,1739,14.2,13.5-14.9,427,1.8,1.6-1.9,268,2.6,2.3-3.0,159,1.2,1.0-1.4
2017,4223,18.1,17.5-18.6,2482,23.7,22.7-24.7,1741,14.1,13.4-14.8,394,1.6,1.5-1.8,250,2.4,2.1-2.8,144,1.0,0.9-1.2
2018,4237,17.7,17.1-18.2,2418,22.3,21.4-23.3,1819,14.4,13.7-15.1,391,1.5,1.4-1.7,239,2.2,1.9-2.5,152,1.1,0.9-1.2
