"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","364","357","7",".",".",".","71","32","11",".",".",".","325",".","39"
"23003","Aroostook County, ME","365","317","47","1",".",".","108","54","32",".",".","308",".","14","43"
"23005","Cumberland County, ME","365","310","43","5","7",".","200","58","35",".","98","145","88","19","15"
"23007","Franklin County, ME","61","61",".",".",".",".","40","21","10",".",".",".",".",".","61"
"23009","Hancock County, ME","365","308","30","18","8","1","202","77","36",".",".","353",".","12","."
"23011","Kennebec County, ME","208","175","19","11","3",".","179","77","38",".",".","180",".",".","28"
"23013","Knox County, ME","212","176","18","12","5","1","206","87","38",".",".","181",".",".","31"
"23017","Oxford County, ME","365","347","16","2",".",".","122","46","21",".",".","181","168",".","16"
"23019","Penobscot County, ME","365","313","37","10","5",".","195","63","36",".",".","349",".","13","3"
"23021","Piscataquis County, ME","232","209","21","2",".",".","133","50","32.5",".",".","232",".",".","."
"23029","Washington County, ME","111","106","5",".",".",".","91","38","16",".",".",".",".","111","."
"23031","York County, ME","326","285","24","9","7","1","202","67","32",".","143","183",".",".","."
"23901","MOBILE MONITORS, ME","137","95","26","13","3",".","192","108","41",".",".","137",".",".","."
