"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","366","283","75","7","1",".","152","67","23",".",".",".","366",".","."
"39003","Allen County, OH","366","314","47","5",".",".","129","61","31",".",".","210","133",".","23"
"39007","Ashtabula County, OH","363","308","39","14","2",".","156","71","33",".",".","204","159",".","."
"39009","Athens County, OH","67","38","28","1",".",".","124","75","43",".",".",".",".","66","1"
"39013","Belmont County, OH","360","241","85","34",".",".","137","99.5","34",".",".",".","359",".","1"
"39017","Butler County, OH","366","183","161","21","1",".","161","89","50.5",".",".","180","114","72","."
"39023","Clark County, OH","366","241","110","14","1",".","156","77","44",".",".","175","112","79","."
"39025","Clermont County, OH","358","252","86","19","1",".","188","80","40",".",".","169","189",".","."
"39027","Clinton County, OH","214","145","54","14","1",".","154","93","45",".",".","214",".",".","."
"39029","Columbiana County, OH","364","252","81","29","2",".","156","94","26",".",".",".","318",".","46"
"39033","Crawford County, OH","360","310","43","7",".",".","147","61","34",".",".","360",".",".","."
"39035","Cuyahoga County, OH","366","102","233","29","2",".","152","97","62","6","20","19","52","267","2"
"39041","Delaware County, OH","214","158","43","13",".",".","129","84","44",".",".","214",".",".","."
"39047","Fayette County, OH","349","286","55","8",".",".","136","64","35",".",".","349",".",".","."
"39049","Franklin County, OH","366","118","223","24","1",".","151","90","58",".",".","86","9","265","6"
"39053","Gallia County, OH","364","299","53","12",".",".","145","61","19",".",".",".","341","23","."
"39055","Geauga County, OH","213","159","42","11","1",".","154","90","43",".",".","213",".",".","."
"39057","Greene County, OH","257","171","73","13",".",".","147","84","44",".",".","182",".","71","4"
"39061","Hamilton County, OH","366","96","208","60","2",".","166","111","65",".","26","61","99","180","."
"39063","Hancock County, OH","54","54",".",".",".",".","39","29","23",".",".",".",".",".","54"
"39081","Jefferson County, OH","366","171","136","53","6",".","200","110","53","7",".","93","176","86","4"
"39083","Knox County, OH","208","163","36","9",".",".","143","84","42.5",".",".","208",".",".","."
"39085","Lake County, OH","366","197","113","56",".",".","149","107","47","1",".","107","198","60","."
"39087","Lawrence County, OH","366","262","103","1",".",".","108","66","37",".",".","136","130","100","."
"39089","Licking County, OH","238","166","58","14",".",".","122","84","43",".",".","211",".",".","27"
"39093","Lorain County, OH","331","227","95","9",".",".","143","75","38",".",".","141","90","100","."
"39095","Lucas County, OH","366","224","123","18","1",".","161","89","44",".",".","132","94","87","53"
"39097","Madison County, OH","214","150","52","12",".",".","129","87","44",".",".","214",".",".","."
"39099","Mahoning County, OH","366","150","200","15","1",".","151","90","54",".",".","67","21","278","."
"39103","Medina County, OH","208","162","38","8",".",".","150","84","42",".",".","208",".",".","."
"39105","Meigs County, OH","355","297","46","12",".",".","134","61","16",".",".",".","355",".","."
"39109","Miami County, OH","213","148","57","8",".",".","133","77","44",".",".","213",".",".","."
"39111","Monroe County, OH","5","5",".",".",".",".","19","19","14",".",".",".",".",".","5"
"39113","Montgomery County, OH","366","261","102","3",".",".","117","70","37.5","99",".","150","1","116","."
"39115","Morgan County, OH","348","261","46","31","10",".","200","106","23.5",".",".",".","348",".","."
"39121","Noble County, OH","357","279","72","6",".",".","132","64","37",".",".","298",".","59","."
"39133","Portage County, OH","260","159","84","16","1",".","151","91","45",".",".","177",".","83","."
"39135","Preble County, OH","260","177","82","1",".",".","105","64","44",".",".","164",".","96","."
"39145","Scioto County, OH","365","287","75","3",".",".","128","61","27",".",".",".","241","105","19"
"39147","Seneca County, OH","177","176","1",".",".",".","52","28","16",".",".",".",".",".","177"
"39151","Stark County, OH","366","242","108","15","1",".","151","83","42","52",".","162","30","92","30"
"39153","Summit County, OH","366","117","183","61","5",".","163","111","62",".",".","50","123","193","."
"39155","Trumbull County, OH","360","174","162","22","2",".","159","91","51",".",".","122",".","235","3"
"39157","Tuscarawas County, OH","354","283","66","5",".",".","127","60","29",".",".",".","354",".","."
"39165","Warren County, OH","213","137","55","20","1",".","154","100","46",".",".","213",".",".","."
"39167","Washington County, OH","237","177","52","8",".",".","129","80","43",".",".","210",".",".","27"
"39173","Wood County, OH","214","167","41","6",".",".","129","67","41.5",".",".","214",".",".","."
"39175","Wyandot County, OH","171","167","4",".",".",".","70","40","22",".",".",".",".",".","171"
