"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39003","Allen County, OH","273","215","58",".",".",".","87","60","41",".",".","184",".","89","."
"39007","Ashtabula County, OH","273","243","28","2",".",".","112","51","36",".",".","211","62",".","."
"39009","Athens County, OH","83","75","8",".",".",".","74","49","22",".",".",".",".","83","."
"39013","Belmont County, OH","273","249","24",".",".",".","74","46","13",".","184",".","2","77","10"
"39017","Butler County, OH","304","165","134","5",".",".","116","74","48",".",".","127","1","160","16"
"39023","Clark County, OH","273","171","102",".",".",".","100","68","45",".",".","117",".","156","."
"39025","Clermont County, OH","302","259","43",".",".",".","97","54","38",".",".","216",".","86","."
"39027","Clinton County, OH","209","178","31",".",".",".","84","58","40",".",".","209",".",".","."
"39029","Columbiana County, OH","272","272",".",".",".",".","35","16","1",".",".",".","227",".","45"
"39035","Cuyahoga County, OH","274","120","150","4",".",".","115","83","53","1",".","102","3","162","6"
"39041","Delaware County, OH","209","191","18",".",".",".","77","49","39",".",".","209",".",".","."
"39047","Fayette County, OH","238","218","20",".",".",".","90","49","38",".",".","238",".",".","."
"39049","Franklin County, OH","274","189","85",".",".",".","100","67","44","1","6","134",".","133","."
"39053","Gallia County, OH","272","257","14","1",".",".","118","33","6",".",".",".","272",".","."
"39055","Geauga County, OH","185","147","38",".",".",".","97","71","42",".",".","185",".",".","."
"39057","Greene County, OH","214","191","23",".",".",".","97","51","39",".",".","214",".",".","."
"39059","Guernsey County, OH","271","268","3",".",".",".","59","23","4",".",".",".","271",".","."
"39061","Hamilton County, OH","304","162","137","5",".",".","140","77","48",".","7","130","3","164","."
"39063","Hancock County, OH","273","273",".",".",".",".","47","9","0",".",".",".","273",".","."
"39067","Harrison County, OH","166","156","10",".",".",".","63","36","5","124",".",".",".","42","."
"39081","Jefferson County, OH","270","144","116","9","1",".","155","77","49",".",".","71","21","178","."
"39083","Knox County, OH","214","194","20",".",".",".","97","50","38",".",".","214",".",".","."
"39085","Lake County, OH","273","204","62","7",".",".","122","71","40",".",".","172","1","99","1"
"39087","Lawrence County, OH","273","199","74",".",".",".","99","61","41",".",".","115",".","158","."
"39089","Licking County, OH","214","196","18",".",".",".","87","50","39",".",".","214",".",".","."
"39093","Lorain County, OH","273","219","54",".",".",".","90","57","38",".",".","151",".","122","."
"39095","Lucas County, OH","272","191","76","5",".",".","122","68","43",".",".","154",".","118","."
"39097","Madison County, OH","198","181","17",".",".",".","84","50","39",".",".","198",".",".","."
"39099","Mahoning County, OH","273","206","66","1",".",".","110","65","41",".",".","133",".","140","."
"39103","Medina County, OH","273","208","65",".",".",".","93","64","42",".",".","169",".","104","."
"39109","Miami County, OH","214","184","30",".",".",".","87","58","40",".",".","214",".",".","."
"39113","Montgomery County, OH","268","159","108","1",".",".","101","73","47",".",".","125",".","143","."
"39115","Morgan County, OH","233","233",".",".",".",".","39","9","1",".",".",".","233",".","."
"39121","Noble County, OH","228","197","31",".",".",".","84","54","39",".",".","228",".",".","."
"39133","Portage County, OH","213","172","40","1",".",".","108","64","41",".",".","197",".","16","."
"39135","Preble County, OH","274","191","83",".",".",".","97","64","42","1",".","145",".","128","."
"39145","Scioto County, OH","273","255","18",".",".",".","85","40","16",".",".",".","10","90","173"
"39151","Stark County, OH","273","164","106","3",".",".","127","74","46",".",".","128",".","145","."
"39153","Summit County, OH","273","194","76","3",".",".","105","67","42",".",".","155","6","112","."
"39155","Trumbull County, OH","273","202","68","3",".",".","147","71","41",".",".","156",".","116","1"
"39165","Warren County, OH","304","233","69","2",".",".","119","64","41",".",".","193",".","111","."
"39167","Washington County, OH","214","191","23",".",".",".","87","51","40",".",".","213","1",".","."
"39173","Wood County, OH","214","185","29",".",".",".","90","54","40",".",".","214",".",".","."
