"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","359","316","41","2",".",".","107","52","16",".",".",".","359",".","."
"39003","Allen County, OH","364","300","55","8","1",".","161","64","28",".",".","210","127",".","27"
"39007","Ashtabula County, OH","362","292","57","9","4",".","185","84","33",".",".","208","154",".","."
"39009","Athens County, OH","53","35","18",".",".",".","98","67","43",".",".",".",".","53","."
"39013","Belmont County, OH","365","261","73","31",".",".","138","95","23",".",".",".","365",".","."
"39017","Butler County, OH","365","204","137","23","1",".","154","91","47",".",".","207","80","78","."
"39023","Clark County, OH","365","253","98","13","1",".","164","77","42",".",".","180","104","81","."
"39025","Clermont County, OH","260","150","97","12","1",".","154","87","47",".",".","180",".","80","."
"39027","Clinton County, OH","214","121","75","17","1",".","161","100","48",".",".","214",".",".","."
"39029","Columbiana County, OH","354","284","57","13",".",".","133","74","17",".",".",".","313",".","41"
"39033","Crawford County, OH","345","286","52","7",".",".","147","64","36",".",".","345",".",".","."
"39035","Cuyahoga County, OH","365","161","167","34","3",".","161","101","55",".","40","89","146","73","17"
"39041","Delaware County, OH","214","142","61","10","1",".","151","84","45",".",".","214",".",".","."
"39047","Fayette County, OH","356","266","84","6",".",".","140","77","37",".",".","356",".",".","."
"39049","Franklin County, OH","365","224","116","23","2",".","154","93","44","5",".","171","32","82","75"
"39053","Gallia County, OH","346","290","44","12",".",".","133","70","20",".",".",".","346",".","."
"39055","Geauga County, OH","214","174","37","3",".",".","119","67","41",".",".","214",".",".","."
"39057","Greene County, OH","265","160","92","13",".",".","150","87","47",".",".","185",".","80","."
"39061","Hamilton County, OH","365","171","150","41","3",".","182","104","52","1","79","131","77","75","2"
"39063","Hancock County, OH","56","56",".",".",".",".","40","29","23",".",".",".",".",".","56"
"39081","Jefferson County, OH","365","208","127","29","1",".","159","93","46","24",".","136","117","85","3"
"39083","Knox County, OH","213","152","51","10",".",".","150","80","43",".",".","213",".",".","."
"39085","Lake County, OH","365","184","124","55","2",".","157","112","50","5",".","114","202","44","."
"39087","Lawrence County, OH","365","241","115","7","2",".","171","80","42",".",".","153","112","100","."
"39089","Licking County, OH","228","160","62","6",".",".","140","80","43",".",".","213",".",".","15"
"39093","Lorain County, OH","263","180","81","2",".",".","122","74","42",".",".","172",".","91","."
"39095","Lucas County, OH","365","225","128","12",".",".","136","79","44",".",".","140","77","86","62"
"39097","Madison County, OH","214","123","76","15",".",".","147","97","46.5",".",".","214",".",".","."
"39099","Mahoning County, OH","365","251","104","10",".",".","136","77","40",".",".","147","121","97","."
"39103","Medina County, OH","257","178","73","6",".",".","119","76","43",".",".","173",".","84","."
"39105","Meigs County, OH","339","302","31","6",".",".","129","56","14",".",".",".","339",".","."
"39109","Miami County, OH","213","148","59","5","1",".","156","77","44",".",".","213",".",".","."
"39113","Montgomery County, OH","365","269","89","7",".",".","147","71","37","101",".","161",".","103","."
"39115","Morgan County, OH","355","285","32","31","7",".","200","102","17",".",".",".","355",".","."
"39121","Noble County, OH","339","271","64","4",".",".","133","67","38",".",".","278",".","61","."
"39133","Portage County, OH","263","186","74","3",".",".","133","74","41",".",".","169",".","94","."
"39135","Preble County, OH","261","166","91","4",".",".","126","77","46",".",".","172",".","89","."
"39145","Scioto County, OH","365","280","83","2",".",".","143","65","31",".",".",".","137","115","113"
"39151","Stark County, OH","342","198","119","24","1",".","172","93","47","77",".","177",".","88","."
"39153","Summit County, OH","365","191","132","41","1",".","175","104","49","7",".","131","153","74","."
"39155","Trumbull County, OH","265","155","92","16","2",".","159","85","45",".",".","180",".","85","."
"39157","Tuscarawas County, OH","341","297","42","2",".",".","107","56","23",".",".",".","341",".","."
"39165","Warren County, OH","214","117","72","21","4",".","166","105","48",".",".","214",".",".","."
"39167","Washington County, OH","237","162","62","11","2",".","166","84","44",".",".","210",".",".","27"
"39173","Wood County, OH","213","157","51","5",".",".","136","77","43",".",".","213",".",".","."
"39175","Wyandot County, OH","68","64","4",".",".",".","56","49","26",".",".",".",".",".","68"
