year,county,state,days,good,moderate,unhealthy_for_sensitive_groups,unhealthy,very_unhealthy,max_aqi,90%_aqi,median_aqi,co,no2,o3,so2,pm2_5,pm10
2015,Lake,OH,365,241,110,13,1,NA,156,71,43,NA,NA,135,34,196,NA
2015,Lawrence,OH,365,274,88,3,NA,NA,112,64,41,NA,NA,120,NA,245,NA
2015,Licking,OH,213,177,34,2,NA,NA,108,58,42,NA,NA,213,NA,NA,NA
2015,Lorain,OH,364,319,45,NA,NA,NA,93,54,34,NA,NA,177,NA,187,NA
2015,Lucas,OH,365,269,95,1,NA,NA,113,64,41,NA,NA,140,1,224,NA
2015,Mahoning,OH,364,255,108,1,NA,NA,112,68,42,NA,NA,126,6,231,1
2015,Medina,OH,354,208,146,NA,NA,NA,97,67,46,NA,NA,78,NA,276,NA
2015,Meigs,OH,358,353,5,NA,NA,NA,71,20,3,NA,NA,NA,358,NA,NA
2015,Miami,OH,213,177,34,2,NA,NA,105,61,42,NA,NA,213,NA,NA,NA
2015,Montgomery,OH,365,254,108,3,NA,NA,108,64,43,1,NA,155,NA,209,NA
2015,Morgan,OH,365,342,17,6,NA,NA,141,31,4,NA,NA,NA,365,NA,NA
2015,Noble,OH,360,310,49,1,NA,NA,112,55.5,37,NA,NA,328,NA,32,NA
2015,Portage,OH,260,228,32,NA,NA,NA,93,55.5,36,NA,NA,188,NA,72,NA
2015,Preble,OH,365,276,87,2,NA,NA,119,61,40,NA,NA,231,2,132,NA
2015,Scioto,OH,365,342,23,NA,NA,NA,92,44,17,NA,NA,NA,47,111,207
2015,Stark,OH,365,271,87,7,NA,NA,108,67,40,1,NA,132,NA,232,NA
2015,Summit,OH,365,177,187,1,NA,NA,135,75,52,1,NA,46,2,316,NA
2015,Trumbull,OH,293,228,62,3,NA,NA,112,61,40,NA,NA,209,NA,75,9
2015,Warren,OH,344,237,103,4,NA,NA,129,67,42,NA,NA,167,NA,177,NA
2015,Washington,OH,214,181,32,1,NA,NA,115,61,40,NA,NA,214,NA,NA,NA
2015,Wood,OH,212,188,24,NA,NA,NA,77,51,41,NA,NA,212,NA,NA,NA
2015,Franklin,ME,49,49,NA,NA,NA,NA,39,19,8,NA,NA,NA,NA,49,NA
2015,Hancock,ME,365,330,32,3,NA,NA,143,50,37,NA,NA,327,NA,38,NA
2015,Knox,ME,178,164,13,1,NA,NA,119,50,36,NA,NA,178,NA,NA,NA
2015,Washington,ME,356,343,13,NA,NA,NA,90,44,33,NA,NA,346,NA,10,NA
2015,Androscoggin,ME,358,294,64,NA,NA,NA,97,56,36,NA,NA,103,NA,252,3
2015,Aroostook,ME,365,276,89,NA,NA,NA,97,60,37,NA,NA,155,NA,206,4
2015,Cumberland,ME,365,287,77,1,NA,NA,108,59,38,NA,18,199,NA,145,3
2015,Kennebec,ME,288,274,14,NA,NA,NA,93,46,32,NA,NA,208,51,20,9
2015,Oxford,ME,340,291,49,NA,NA,NA,90,56,33,NA,NA,147,NA,193,NA
2015,Penobscot,ME,364,304,60,NA,NA,NA,100,54,37,NA,NA,196,NA,168,NA
2015,York,ME,350,329,18,3,NA,NA,136,48,31,NA,NA,214,136,NA,NA
2015,Sagadahoc,ME,203,198,5,NA,NA,NA,74,46,35,NA,NA,203,NA,NA,NA
2015,Erie,PA,365,281,82,2,NA,NA,115,63,40,NA,8,221,NA,136,NA
2015,Franklin,PA,359,340,19,NA,NA,NA,77,47,34,NA,NA,359,NA,NA,NA
2015,Monroe,PA,364,281,82,1,NA,NA,112,60,39,NA,NA,260,NA,104,NA
2015,Adams,PA,365,243,121,1,NA,NA,101,67,44,NA,NA,215,NA,150,NA
2015,Delaware,PA,365,195,161,9,NA,NA,150,72,48,NA,6,150,NA,208,1
2015,Greene,PA,364,303,57,4,NA,NA,115,61,37,NA,NA,359,5,NA,NA
2015,Lawrence,PA,365,332,32,1,NA,NA,101,49,33,NA,NA,326,6,NA,33
2015,Montgomery,PA,365,247,112,6,NA,NA,133,71,42,NA,NA,230,NA,135,NA
2015,Warren,PA,359,283,62,14,NA,NA,128,74,23,NA,NA,NA,359,NA,NA
2015,Washington,PA,365,184,174,7,NA,NA,119,74,50,NA,NA,135,5,225,NA
2015,Cumberland,PA,363,210,152,1,NA,NA,121,69,45,NA,NA,NA,NA,363,NA
2015,York,PA,365,200,156,9,NA,NA,126,80,48,NA,10,164,1,190,NA
2015,Allegheny,PA,365,154,186,23,2,NA,175,93,53,NA,NA,124,26,214,1
2015,Armstrong,PA,364,219,142,3,NA,NA,115,68,46,NA,NA,164,NA,200,NA
2015,Beaver,PA,365,219,141,5,NA,NA,122,71,46,NA,3,205,3,154,NA
2015,Berks,PA,365,206,153,6,NA,NA,119,80,47,NA,1,177,NA,187,NA
2015,Blair,PA,365,236,127,2,NA,NA,108,67,44,NA,NA,141,3,221,NA
2015,Bucks,PA,362,203,142,16,1,NA,164,84,46,NA,3,178,NA,181,NA
2015,Cambria,PA,365,213,152,NA,NA,NA,97,68,47,NA,7,109,10,238,1
2015,Centre,PA,365,258,105,2,NA,NA,108,65,42,NA,3,210,NA,152,NA
2015,Chester,PA,365,195,168,1,1,NA,166,72,48,NA,NA,145,NA,220,NA
2015,Clearfield,PA,336,292,44,NA,NA,NA,100,54,38,NA,NA,336,NA,NA,NA
2015,Dauphin,PA,365,185,172,8,NA,NA,124,74,50,NA,NA,116,NA,248,1
2015,Elk,PA,347,324,22,1,NA,NA,101,48,36,NA,NA,347,NA,NA,NA
2015,Lackawanna,PA,365,240,122,3,NA,NA,108,71,43,NA,4,181,NA,180,NA
2015,Lancaster,PA,365,185,170,10,NA,NA,140,84,50,NA,3,158,NA,204,NA
2015,Lehigh,PA,365,319,43,3,NA,NA,108,58,34,NA,NA,348,NA,NA,17
2015,Luzerne,PA,365,329,35,1,NA,NA,105,50,34,NA,NA,344,NA,NA,21
2015,Lycoming,PA,363,340,23,NA,NA,NA,87,48,34,NA,NA,362,NA,NA,1
2015,Mercer,PA,365,221,141,2,1,NA,152,67,45,NA,NA,166,NA,199,NA
2015,Northampton,PA,365,187,173,5,NA,NA,119,78,50,NA,1,137,NA,227,NA
2015,Philadelphia,PA,365,177,172,14,2,NA,161,84,51,NA,21,134,NA,210,NA
2015,Somerset,PA,287,272,15,NA,NA,NA,77,48,34,NA,NA,287,NA,NA,NA
2015,Tioga,PA,365,287,78,NA,NA,NA,90,59,40,NA,1,239,NA,125,NA
2015,Westmoreland,PA,365,236,126,3,NA,NA,147,71,44,NA,NA,162,NA,203,NA
2015,Indiana,PA,365,279,79,7,NA,NA,120,70,41,NA,NA,315,50,NA,NA
2015,Lebanon,PA,365,224,129,12,NA,NA,133,82,46,NA,NA,208,NA,157,NA
2015,Bradford,PA,365,352,13,NA,NA,NA,77,44,32,NA,2,363,NA,NA,NA
2016,Albany,NY,366,313,51,2,NA,NA,119,58,36,NA,NA,268,NA,98,NA
2016,Bronx,NY,366,281,81,4,NA,NA,140,64,41,NA,71,176,NA,119,NA
2016,Chautauqua,NY,366,324,39,3,NA,NA,140,54,37,NA,NA,352,3,11,NA
2016,Dutchess,NY,362,333,24,5,NA,NA,122,49,34,NA,NA,353,9,NA,NA
2016,Erie,NY,366,281,79,6,NA,NA,136,61,41,NA,21,192,3,150,NA
2016,Essex,NY,366,333,31,2,NA,NA,112,49,39,NA,NA,365,NA,1,NA
2016,Franklin,NY,366,365,1,NA,NA,NA,51,36,20,NA,142,198,26,NA,NA
2016,Hamilton,NY,343,328,13,2,NA,NA,112,44,33,NA,NA,324,19,NA,NA
2016,Herkimer,NY,353,343,6,4,NA,NA,108,43,32,NA,NA,347,6,NA,NA
2016,Jefferson,NY,332,307,23,2,NA,NA,122,48,34,NA,NA,332,NA,NA,NA
2016,Kings,NY,366,325,41,NA,NA,NA,80,52,28,NA,NA,NA,NA,366,NA
2016,Monroe,NY,366,313,51,2,NA,NA,122,56,38,NA,6,220,4,136,NA
2016,Nassau,NY,366,337,29,NA,NA,NA,69,48,23,NA,NA,NA,15,351,NA
2016,New York,NY,366,247,115,4,NA,NA,126,67,43,NA,NA,157,NA,209,NA
2016,Niagara,NY,220,197,20,3,NA,NA,119,54,38.5,NA,NA,220,NA,NA,NA
2016,Oneida,NY,362,342,20,NA,NA,NA,64,43,20,NA,NA,NA,NA,362,NA
2016,Onondaga,NY,366,339,25,2,NA,NA,122,49,34,NA,NA,315,NA,51,NA
2016,Orange,NY,366,329,36,1,NA,NA,112,51,36,NA,NA,273,NA,93,NA
2016,Putnam,NY,361,322,34,4,1,NA,156,51,35,NA,NA,356,5,NA,NA
2016,Queens,NY,366,286,74,6,NA,NA,143,64,39,NA,62,200,NA,104,NA
2016,Richmond,NY,366,278,78,9,1,NA,151,66,40,NA,NA,220,NA,146,NA
2016,Saratoga,NY,350,328,19,3,NA,NA,119,48,33,NA,NA,350,NA,NA,NA
2016,Steuben,NY,364,336,26,2,NA,NA,122,49,36,4,NA,304,1,55,NA
2016,Suffolk,NY,366,298,60,8,NA,NA,150,58,40,NA,NA,280,NA,86,NA
2016,Tompkins,NY,361,331,28,2,NA,NA,122,48,36,NA,NA,361,NA,NA,NA
2016,Wayne,NY,351,321,28,2,NA,NA,136,48,34,NA,NA,351,NA,NA,NA
2016,Westchester,NY,366,300,60,6,NA,NA,140,64,37,NA,NA,277,NA,89,NA
2016,Oswego,NY,283,261,21,1,NA,NA,101,47,34,NA,NA,283,NA,NA,NA
2016,Rockland,NY,363,303,56,4,NA,NA,136,61,36,NA,NA,291,NA,72,NA
2016,Franklin,OH,366,274,83,9,NA,NA,126,64,42,NA,38,183,NA,144,1
2016,Hamilton,OH,366,199,155,12,NA,NA,140,74,49,NA,28,140,NA,198,NA
2016,Jefferson,OH,366,194,168,4,NA,NA,105,68,49,NA,NA,105,8,253,NA
2016,Madison,OH,213,161,50,2,NA,NA,112,64,43,NA,NA,213,NA,NA,NA
2016,Adams,OH,366,358,8,NA,NA,NA,80,37,23,NA,NA,NA,6,360,NA
2016,Allen,OH,366,316,47,3,NA,NA,122,58,34,NA,NA,206,NA,160,NA
2016,Ashtabula,OH,366,324,36,6,NA,NA,126,54,30,NA,NA,213,153,NA,NA
2016,Athens,OH,60,58,2,NA,NA,NA,56,41.5,27,NA,NA,NA,NA,60,NA
2016,Belmont,OH,366,345,21,NA,NA,NA,100,43,16.5,1,257,NA,1,101,6
2016,Butler,OH,366,259,96,11,NA,NA,136,74,41.5,NA,NA,284,12,67,3
2016,Clark,OH,366,270,90,6,NA,NA,119,65,42,NA,NA,173,3,190,NA
2016,Clermont,OH,366,242,119,5,NA,NA,133,67,44,NA,NA,146,NA,220,NA
2016,Clinton,OH,211,154,53,4,NA,NA,112,74,44,NA,NA,211,NA,NA,NA
2016,Columbiana,OH,365,364,1,NA,NA,NA,52,16,1,NA,NA,NA,305,NA,60
2016,Cuyahoga,OH,366,207,148,6,5,NA,200,74,47,NA,12,136,32,179,7
2016,Delaware,OH,212,179,32,1,NA,NA,112,67,41,NA,NA,212,NA,NA,NA
2016,Fayette,OH,353,310,42,1,NA,NA,108,54,37,NA,NA,353,NA,NA,NA
2016,Geauga,OH,214,155,49,10,NA,NA,140,74,44,NA,NA,214,NA,NA,NA
2016,Greene,OH,366,285,80,1,NA,NA,105,64,40,NA,NA,185,NA,181,NA
2016,Knox,OH,213,175,38,NA,NA,NA,100,64,41,NA,NA,213,NA,NA,NA
2016,Lake,OH,366,275,78,13,NA,NA,143,71,39,1,NA,171,11,183,NA
2016,Lawrence,OH,366,288,75,3,NA,NA,119,58,39,NA,NA,147,NA,219,NA
2016,Licking,OH,214,172,39,3,NA,NA,108,64,43,NA,NA,214,NA,NA,NA
2016,Lorain,OH,365,316,47,2,NA,NA,115,54,34,NA,NA,205,NA,159,1
2016,Lucas,OH,366,288,74,4,NA,NA,112,61,39,NA,NA,181,32,153,NA
2016,Mahoning,OH,366,311,55,NA,NA,NA,75,53,35,NA,NA,64,NA,302,NA
2016,Medina,OH,362,285,76,1,NA,NA,105,59,40,NA,NA,183,NA,179,NA
2016,Meigs,OH,187,185,2,NA,NA,NA,64,13,1,NA,NA,NA,187,NA,NA
2016,Miami,OH,213,164,46,3,NA,NA,101,67,43,NA,NA,213,NA,NA,NA
2016,Montgomery,OH,366,276,84,6,NA,NA,112,67,40.5,NA,NA,178,NA,188,NA
2016,Morgan,OH,363,363,NA,NA,NA,NA,40,9,1,NA,NA,NA,363,NA,NA
2016,Noble,OH,348,307,39,2,NA,NA,105,51,37.5,NA,NA,321,NA,27,NA
2016,Portage,OH,247,223,24,NA,NA,NA,90,50,37,NA,NA,202,NA,45,NA
2016,Preble,OH,366,295,70,1,NA,NA,105,61,40,NA,NA,265,2,99,NA
2016,Scioto,OH,366,355,10,1,NA,NA,129,42,15,NA,NA,NA,38,116,212
2016,Stark,OH,366,267,93,6,NA,NA,119,67,40,2,NA,174,NA,190,NA
2016,Summit,OH,366,260,105,1,NA,NA,112,61,42.5,NA,NA,96,NA,270,NA
2016,Trumbull,OH,366,300,61,5,NA,NA,133,61,39,NA,NA,185,NA,178,3
2016,Warren,OH,360,238,113,9,NA,NA,129,71,43.5,NA,NA,176,NA,184,NA
2016,Washington,OH,214,189,25,NA,NA,NA,90,54,40,NA,NA,214,NA,NA,NA
2016,Wood,OH,214,170,41,3,NA,NA,115,64,41,NA,NA,214,NA,NA,NA
2016,Franklin,ME,347,335,12,NA,NA,NA,68,36,16,NA,NA,NA,NA,347,NA
2016,Hancock,ME,366,342,22,2,NA,NA,122,47,36,NA,NA,330,NA,36,NA
2016,Knox,ME,181,171,9,1,NA,NA,122,48,33,NA,NA,181,NA,NA,NA
2016,Washington,ME,366,360,6,NA,NA,NA,74,44,32,NA,NA,365,NA,1,NA
2016,Androscoggin,ME,358,333,25,NA,NA,NA,79,47,32,NA,NA,163,NA,190,5
2016,Aroostook,ME,366,324,41,NA,1,NA,164,52,34,NA,NA,183,NA,182,1
2016,Cumberland,ME,366,334,32,NA,NA,NA,97,50,35,NA,11,256,NA,95,4
2016,Kennebec,ME,309,295,14,NA,NA,NA,84,46,30,NA,76,206,NA,25,2
2016,Oxford,ME,363,313,50,NA,NA,NA,89,54,31,NA,NA,167,NA,196,NA
2016,Penobscot,ME,366,320,46,NA,NA,NA,75,54,36,NA,NA,187,NA,179,NA
2016,York,ME,283,258,23,2,NA,NA,108,49,35,NA,NA,236,47,NA,NA
2016,Erie,PA,366,295,69,2,NA,NA,129,56,39,NA,2,234,NA,130,NA
2016,Franklin,PA,337,325,12,NA,NA,NA,74,44,33,NA,NA,337,NA,NA,NA
2016,Monroe,PA,366,310,53,3,NA,NA,140,58,40,NA,NA,257,NA,109,NA
2016,Adams,PA,366,284,77,5,NA,NA,119,67,42,NA,NA,290,NA,76,NA
2016,Delaware,PA,366,200,161,5,NA,NA,136,72,48,NA,4,140,NA,222,NA
2016,Greene,PA,355,312,42,1,NA,NA,105,54,37,NA,NA,308,1,46,NA
2016,Lawrence,PA,362,331,30,1,NA,NA,112,49,33,NA,NA,345,17,NA,NA
2016,Montgomery,PA,331,280,46,5,NA,NA,140,58,34,NA,NA,317,14,NA,NA
2016,Warren,PA,366,352,14,NA,NA,NA,99,34,9,NA,NA,NA,366,NA,NA
2016,Washington,PA,366,209,153,4,NA,NA,129,66,48,NA,NA,134,2,230,NA
2016,Cumberland,PA,365,276,88,1,NA,NA,116,60,39,NA,NA,NA,NA,365,NA
2016,York,PA,366,236,125,5,NA,NA,133,67,43.5,NA,5,207,NA,154,NA
2016,Allegheny,PA,366,177,168,20,1,NA,152,87,51,NA,NA,130,20,216,NA
2016,Armstrong,PA,365,222,138,5,NA,NA,119,67,46,NA,NA,197,NA,168,NA
2016,Beaver,PA,366,232,130,4,NA,NA,126,67,45,NA,1,225,3,137,NA
2016,Berks,PA,366,222,137,7,NA,NA,129,68,46,NA,NA,150,NA,216,NA
2016,Blair,PA,366,285,79,2,NA,NA,122,59,39.5,NA,NA,194,NA,169,3
2016,Bucks,PA,358,309,40,9,NA,NA,147,61,33,NA,NA,347,11,NA,NA
2016,Cambria,PA,366,262,104,NA,NA,NA,97,65,43,1,5,206,2,151,1
2016,Centre,PA,366,290,74,2,NA,NA,122,59,40,NA,1,261,NA,104,NA
2016,Chester,PA,365,228,128,9,NA,NA,143,67,45,NA,NA,189,NA,176,NA
2016,Clearfield,PA,338,305,32,1,NA,NA,119,50,37.5,NA,NA,338,NA,NA,NA
2016,Dauphin,PA,366,250,110,6,NA,NA,115,67,42,NA,NA,208,NA,158,NA
2016,Elk,PA,346,321,22,3,NA,NA,126,50,37,NA,NA,346,NA,NA,NA
2016,Lackawanna,PA,366,292,70,4,NA,NA,129,62,41,NA,4,234,NA,128,NA
2016,Lancaster,PA,366,187,173,6,NA,NA,136,74,50,NA,NA,138,NA,228,NA
2016,Lehigh,PA,366,231,129,6,NA,NA,129,65,44,NA,NA,152,NA,209,5
2016,Luzerne,PA,366,336,29,1,NA,NA,119,48,33.5,NA,NA,348,NA,NA,18
2016,Lycoming,PA,366,335,30,1,NA,NA,108,49,34,NA,NA,353,NA,NA,13
2016,Mercer,PA,366,264,99,3,NA,NA,143,65,42,NA,NA,246,NA,120,NA
2016,Northampton,PA,366,208,148,9,NA,1,217,74,48,NA,1,188,1,176,NA
2016,Philadelphia,PA,366,192,165,9,NA,NA,147,77,49,NA,12,152,NA,202,NA
2016,Somerset,PA,357,324,32,1,NA,NA,105,50,36,NA,NA,357,NA,NA,NA
2016,Tioga,PA,366,313,51,2,NA,NA,112,55,39,NA,1,308,NA,57,NA
2016,Westmoreland,PA,366,218,143,5,NA,NA,112,66,45,NA,NA,158,NA,208,NA
2016,Indiana,PA,366,317,45,4,NA,NA,136,58,38,NA,NA,346,20,NA,NA
2016,Lebanon,PA,366,189,170,7,NA,NA,122,67,49.5,NA,NA,119,NA,247,NA
2016,Bradford,PA,358,315,43,NA,NA,NA,97,52,38,NA,1,208,NA,149,NA
2017,Albany,NY,365,310,55,NA,NA,NA,84,53,37,NA,NA,236,NA,129,NA
2017,Bronx,NY,365,291,72,2,NA,NA,136,59,39,NA,92,164,NA,109,NA
2017,Chautauqua,NY,355,320,33,2,NA,NA,129,50,37,NA,NA,318,9,28,NA
2017,Dutchess,NY,363,346,16,1,NA,NA,101,45,32,NA,NA,355,8,NA,NA
2017,Erie,NY,365,282,82,1,NA,NA,119,61,39,NA,13,179,NA,172,1
2017,Essex,NY,365,312,53,NA,NA,NA,90,61,39,NA,NA,359,NA,6,NA
2017,Franklin,NY,365,357,8,NA,NA,NA,93,41,25,NA,118,198,49,NA,NA
2017,Hamilton,NY,364,347,17,NA,NA,NA,87,45,34,NA,NA,358,6,NA,NA
2017,Herkimer,NY,319,315,4,NA,NA,NA,77,42,31,NA,NA,312,7,NA,NA
2017,Jefferson,NY,326,309,15,2,NA,NA,101,46,34,NA,NA,326,NA,NA,NA
2017,Kings,NY,344,310,34,NA,NA,NA,72,50,28,NA,NA,NA,NA,344,NA
2017,Monroe,NY,365,312,50,3,NA,NA,112,53,37,NA,3,211,2,149,NA
2017,Nassau,NY,365,342,23,NA,NA,NA,64,45,23,NA,NA,NA,22,343,NA
2017,New York,NY,365,261,102,2,NA,NA,122,61,41,NA,NA,127,NA,238,NA
2017,Niagara,NY,249,229,19,1,NA,NA,105,48,35,NA,NA,249,NA,NA,NA
2017,Oneida,NY,359,343,16,NA,NA,NA,62,40,20,NA,NA,NA,NA,359,NA
2017,Onondaga,NY,365,340,25,NA,NA,NA,93,48,35,NA,NA,303,NA,62,NA
2017,Orange,NY,365,333,32,NA,NA,NA,82,48,34,NA,NA,254,NA,111,NA
2017,Putnam,NY,360,339,18,3,NA,NA,112,46.5,34,NA,NA,356,4,NA,NA
2017,Queens,NY,365,288,71,5,1,NA,151,61,39,NA,74,161,NA,130,NA
2017,Richmond,NY,365,297,61,7,NA,NA,136,58,38,NA,NA,211,NA,154,NA
2017,Saratoga,NY,354,341,13,NA,NA,NA,90,45,34,NA,NA,354,NA,NA,NA
2017,St. Lawrence,NY,363,280,61,22,NA,NA,112,86,17,NA,NA,NA,363,NA,NA
2017,Steuben,NY,365,351,14,NA,NA,NA,91,45,34,3,NA,303,NA,59,NA
2017,Suffolk,NY,365,312,44,7,2,NA,159,58,39,NA,NA,278,NA,87,NA
2017,Tompkins,NY,365,350,15,NA,NA,NA,71,45,34,NA,NA,351,14,NA,NA
2017,Wayne,NY,306,287,18,1,NA,NA,101,47,36,NA,NA,306,NA,NA,NA
2017,Westchester,NY,363,327,31,5,NA,NA,112,50,37,NA,NA,281,NA,82,NA
2017,Seneca,NY,349,349,NA,NA,NA,NA,20,1,0,NA,NA,NA,349,NA,NA
2017,Oswego,NY,360,346,14,NA,NA,NA,87,44,34,NA,NA,360,NA,NA,NA
2017,Rockland,NY,365,340,24,1,NA,NA,105,48,35,NA,NA,304,NA,61,NA
2017,Franklin,OH,365,287,75,3,NA,NA,112,61,41,NA,28,192,NA,142,3
2017,Hamilton,OH,365,190,170,5,NA,NA,129,70,50,NA,19,132,NA,214,NA
2017,Jefferson,OH,365,189,175,1,NA,NA,110,67,50,NA,NA,78,10,277,NA
2017,Madison,OH,244,211,32,1,NA,NA,105,54,41,NA,NA,244,NA,NA,NA
2017,Adams,OH,365,359,6,NA,NA,NA,85,35,23,NA,NA,NA,1,364,NA
2017,Allen,OH,365,316,48,1,NA,NA,112,54,37,NA,NA,231,NA,134,NA
2017,Ashtabula,OH,365,332,31,2,NA,NA,143,50,34,NA,NA,245,120,NA,NA
2017,Athens,OH,59,56,3,NA,NA,NA,56,44,26,NA,NA,NA,NA,59,NA
2017,Belmont,OH,365,354,11,NA,NA,NA,75,36,15,1,254,NA,NA,103,7
2017,Butler,OH,365,275,83,7,NA,NA,126,67,42,NA,NA,288,10,65,2
2017,Clark,OH,365,266,97,2,NA,NA,105,63,41,NA,NA,174,NA,191,NA
2017,Clermont,OH,365,272,91,2,NA,NA,129,60,42,NA,NA,164,NA,201,NA
2017,Clinton,OH,245,206,36,3,NA,NA,143,61,42,NA,NA,245,NA,NA,NA
2017,Columbiana,OH,365,365,NA,NA,NA,NA,26,13,3,NA,NA,NA,304,NA,61
2017,Cuyahoga,OH,365,229,131,5,NA,NA,126,70,44,NA,15,182,10,151,7
2017,Delaware,OH,245,228,17,NA,NA,NA,90,49,38,NA,NA,245,NA,NA,NA
2017,Fayette,OH,357,326,30,1,NA,NA,115,49,35,NA,NA,357,NA,NA,NA
2017,Gallia,OH,365,355,9,1,NA,NA,101,30,6,NA,NA,NA,365,NA,NA
2017,Geauga,OH,245,192,49,4,NA,NA,122,67,43,NA,NA,245,NA,NA,NA
2017,Greene,OH,364,287,76,1,NA,NA,101,58,40,NA,NA,182,NA,182,NA
2017,Knox,OH,245,223,22,NA,NA,NA,100,50,38,NA,NA,245,NA,NA,NA
2017,Lake,OH,365,299,60,6,NA,NA,147,64,38,1,NA,199,2,163,NA
2017,Lawrence,OH,365,331,32,1,1,NA,159,49,36,NA,NA,214,NA,151,NA
2017,Licking,OH,245,221,24,NA,NA,NA,100,50,39,NA,NA,245,NA,NA,NA
2017,Lorain,OH,365,323,41,1,NA,NA,101,52,36,NA,NA,225,NA,140,NA
2017,Lucas,OH,365,282,79,4,NA,NA,126,64,41,NA,NA,187,3,175,NA
2017,Mahoning,OH,365,302,63,NA,NA,NA,80,55,36,NA,NA,123,NA,242,NA
2017,Medina,OH,364,292,72,NA,NA,NA,100,58,40,NA,NA,200,NA,164,NA
2017,Miami,OH,245,210,34,1,NA,NA,101,58,40,NA,NA,245,NA,NA,NA
2017,Montgomery,OH,365,288,76,1,NA,NA,101,61,40,12,NA,193,NA,160,NA
2017,Morgan,OH,362,361,1,NA,NA,NA,56,9,1,NA,NA,NA,362,NA,NA
2017,Noble,OH,354,324,30,NA,NA,NA,97,49,38,NA,NA,330,NA,24,NA
2017,Portage,OH,281,248,33,NA,NA,NA,97,51,39,NA,NA,225,NA,56,NA
2017,Preble,OH,365,301,63,1,NA,NA,108,55,39,2,NA,239,NA,124,NA
2017,Scioto,OH,365,358,7,NA,NA,NA,67,30,13,NA,NA,NA,28,96,241
2017,Stark,OH,365,250,113,2,NA,NA,119,64,44,5,NA,177,NA,183,NA
2017,Summit,OH,365,273,92,NA,NA,NA,97,59,39,NA,NA,165,NA,200,NA
2017,Trumbull,OH,352,276,74,2,NA,NA,115,58,41,NA,NA,169,NA,183,NA
2017,Warren,OH,358,253,104,1,NA,NA,115,62,44,NA,NA,178,NA,180,NA
2017,Washington,OH,245,219,26,NA,NA,NA,97,51,41,NA,NA,245,NA,NA,NA
2017,Wood,OH,245,217,28,NA,NA,NA,97,54,38,NA,NA,245,NA,NA,NA
2017,Franklin,ME,242,227,15,NA,NA,NA,72,44,20,NA,NA,NA,NA,242,NA
2017,Hancock,ME,365,331,28,5,1,NA,182,50,37,NA,NA,348,NA,17,NA
2017,Knox,ME,215,205,7,3,NA,NA,143,45,35,NA,NA,215,NA,NA,NA
2017,Washington,ME,362,351,9,2,NA,NA,147,44,35,NA,NA,360,NA,2,NA
2017,Androscoggin,ME,359,296,63,NA,NA,NA,100,55,38,NA,NA,131,NA,228,NA
2017,Aroostook,ME,365,312,52,1,NA,NA,120,53,35,NA,NA,190,NA,173,2
2017,Cumberland,ME,365,322,41,2,NA,NA,150,53,37,NA,15,243,NA,104,3
2017,Kennebec,ME,360,348,12,NA,NA,NA,100,44,31,NA,97,238,1,23,1
2017,Oxford,ME,351,299,52,NA,NA,NA,86,54,36,NA,NA,184,NA,167,NA
2017,Penobscot,ME,348,331,17,NA,NA,NA,80,44,31,NA,NA,181,NA,164,3
2017,York,ME,224,204,19,NA,1,NA,159,50,37,NA,NA,224,NA,NA,NA
2017,Erie,PA,365,290,74,1,NA,NA,122,56,38,NA,1,230,NA,134,NA
2017,Franklin,PA,358,354,4,NA,NA,NA,67,45,33,NA,NA,358,NA,NA,NA
2017,Monroe,PA,364,305,59,NA,NA,NA,100,55,38,NA,NA,244,NA,120,NA
2017,Adams,PA,365,292,72,1,NA,NA,129,56,41,NA,NA,256,NA,109,NA
2017,Delaware,PA,365,244,119,2,NA,NA,119,66,44,NA,10,158,2,195,NA
2017,Greene,PA,356,312,44,NA,NA,NA,93,53,38,NA,NA,256,NA,100,NA
2017,Lawrence,PA,365,332,33,NA,NA,NA,90,49,34,NA,NA,363,2,NA,NA
2017,Montgomery,PA,364,268,89,7,NA,NA,129,66,40,NA,NA,222,NA,142,NA
2017,Warren,PA,365,358,6,1,NA,NA,105,24,10,NA,NA,NA,365,NA,NA
2017,Washington,PA,365,215,149,1,NA,NA,114,67,47,NA,1,136,2,226,NA
2017,Cumberland,PA,359,287,71,1,NA,NA,103,56,32,NA,NA,NA,NA,359,NA
2017,York,PA,365,266,99,NA,NA,NA,93,61,43,NA,11,206,1,147,NA
2017,Allegheny,PA,365,161,173,30,1,NA,164,96,54,NA,NA,132,25,207,1
2017,Armstrong,PA,361,238,123,NA,NA,NA,93,64,44,NA,NA,189,NA,172,NA
2017,Beaver,PA,365,211,152,2,NA,NA,105,67,47,NA,1,156,1,207,NA
2017,Berks,PA,365,246,114,5,NA,NA,122,67,44,NA,NA,205,NA,160,NA
2017,Blair,PA,362,291,71,NA,NA,NA,88,58,41.5,NA,NA,215,NA,147,NA
2017,Bucks,PA,335,289,34,12,NA,NA,143,61,34,NA,NA,335,NA,NA,NA
2017,Cambria,PA,364,209,155,NA,NA,NA,91,66,48,NA,3,113,2,245,1
2017,Centre,PA,365,253,112,NA,NA,NA,100,61,45,NA,NA,200,NA,165,NA
2017,Chester,PA,364,221,138,5,NA,NA,136,66,45,NA,NA,134,NA,230,NA
2017,Clearfield,PA,346,317,29,NA,NA,NA,84,49,36,NA,NA,346,NA,NA,NA
